xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,thirdComputedRewardOutput,thirdLearningStimOnset,thirdLearningFixOnset,thirdPresentationRT,thirdPresentationAcc,thirdPresentationResp,thirdEndTrialTimeStamp,feedbackResp.rt,fourthComputedRewardOutput,fourthLearningStimOnset,fourthLearningFixOnset,fourthPresentationRT,fourthPresentationAcc,fourthPresentationResp,fourthEndTrialTimeStamp,fifthComputedRewardOutput,fifthLearningStimOnset,fifthLearningFixOnset,fifthPresentationRT,fifthPresentationAcc,fifthPresentationResp,fifthEndTrialTimeStamp,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],9,49.7592589855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
200,s,-200,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.918155193329,None,0,0.5,circlecyan.gif,go,0.43,0.506426095963,0.00661206245422,0.918155193329,1,s,90.7893111706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
200,s,-200,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.383944034576,None,0,1.0,trianglegray.gif,go,1.1,0.514781951904,0.00129294395447,0.383944034576,1,s,93.7921221256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
-200,q,200,,,,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.417373895645,None,0,0.5,hexagonyellow.gif,stop,0.67,0.515226125717,0.001305103302,0.417373895645,1,q,96.7956559658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
-200,a,-200,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.301045894623,None,0,2.0,diamondorange.gif,stop,1.81,0.51473402977,0.00145101547241,0.301045894623,1,a,99.7989120483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
200,w,200,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.351150035858,None,0,1.0,squaremagenta.gif,stop,0,0.515111923218,0.00128483772278,0.351150035858,1,w,102.802189112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
200,w,200,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.400912046432,None,0,4.0,linegreen.gif,stop,0,0.515017032623,0.00128507614136,0.400912046432,1,w,105.80570817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
200,w,200,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.467726945877,None,0,4.0,crosswhite.gif,go,0,0.514885902405,0.00132203102112,0.467726945877,1,w,108.809046984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
-200,a,-200,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.634334087372,None,0,0.5,hexagonyellow.gif,stop,0.46,0.515027999878,0.000904083251953,0.634334087372,1,a,111.812220097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
-200,q,200,,,,0,8,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.434329032898,None,0,1.0,trianglegray.gif,go,0.9,0.515066146851,0.000890970230103,0.434329032898,1,q,114.815628052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
-200,q,200,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.417392969131,None,0,1.0,trianglegray.gif,go,1.16,0.515088796616,0.00092601776123,0.417392969131,1,q,117.819051981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
,,,z,0,-200,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.320862055,stop,diamondorange.gif,stop,2.0,z,1,0.334391117096,None,0,0.00129294395447,0.509799003601,0.76021194458,162.318694115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
,,,m,0,200,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.319133043,go,crosswhite.gif,go,4.0,m,1,0.400973796844,None,0,0.000970125198364,0.515304088593,,165.321599007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
,,,m,0,200,,,,,,,,,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.321957111,go,invertedtriangleblue.gif,go,2.0,m,1,0.467531919479,None,0,0.00133204460144,0.516028165817,,168.325121164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
,,,m,0,200,,,,,,,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.325492144,go,crosswhite.gif,go,4.0,m,1,0.434365034103,None,0,0.000957012176514,0.515809059143,,171.32842207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
,,,m,0,200,,,,,,,,,,2,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.328828096,stop,diamondorange.gif,stop,2.0,m,1,0.400786876678,None,0,0.00106906890869,0.51588010788,0.766028165817,174.331954002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
,,,z,0,-200,,,,,,,,,,2,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.332309008,go,trianglegray.gif,go,1.0,z,1,0.517746210098,None,0,0.000942945480347,0.515764951706,,177.334912062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
,,,z,0,-200,,,,,,,,,,3,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.335322142,stop,diamondorange.gif,stop,2.0,None,0,,None,0,0.00100111961365,0.515985012054,0.766364097595,180.338672161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
,,,z,0,-200,,,,,,,,,,3,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.339027166,go,circlecyan.gif,go,0.5,z,1,0.484462022781,None,0,0.00116205215454,0.515626907349,,183.341776133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
,,,m,0,200,,,,,,,,,,4,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.342137098,stop,diamondorange.gif,stop,2.0,None,0,,None,0,0.000942945480347,0.516093015671,0.766272068024,186.345389128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
,,,z,0,-200,,,,,,,,,,4,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.345745087,stop,squaremagenta.gif,stop,1.0,None,0,,None,0,0.000931024551392,0.515933036804,0.765752077103,189.348747969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,56.3017029762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3.23688411713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.568103075027,None,0,4.0,linegreen.gif,stop,,,,,,,,,,,,,,,,,,,,,,,,0,0.508241891861,0.000918865203857,0.568103075027,1,w,252.053407192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_24_1041,59.7414524923,LearningTask,1,20,
