	LU	Nr	age	betting	buttons	commands	duration	gender	hand	layout	learning	p1	p2	p3	phase	reward	screen	stopping	symbols	training	which_info
count		109	19					f	l						3						data
RT												{'symbols': {'s6': 311.2666429299861, 's8': 323.93197770696133, 's5': 313.61376840621233, 's3': 312.8850004496053, 's2': 307.4477931438014, 's7': 313.4436375973746, 's1': 309.0979119250551, 's4': 310.5898666800931}, 'all': 312.78457485488616, 'blocks': {'b4': 308.04543318226933, 'b2': 312.49529988504946, 'b1': 307.01202888507396, 'b3': 323.5855374671519}}	{'cor': 592.1152520032289, 'symbols': {'s6': 585.0550237939589, 's8': 603.0228245589468, 's5': 578.4411265566531, 's3': 611.122412510061, 's2': 591.6820738154153, 's7': 634.0555925594849, 's1': 583.1832404429507, 's4': 574.4448913804566}, 'failstop': 493.1734762629311, 'err': nan}								output
errmissrate												0.5									output
numbers													{'stop': {'succ': 57, 'fail': 51, 'all': 108}, 'all': 288, 'go': {'miss': 0, 'cor': 180, 'all': 180, 'err': 0}}								output
rates													{'miss': 0, 'stop': 37.5, 'err': 0, 'stopsucc': {'symbols': {'s6': 44.44444444444444, 's8': 59.25925925925926, 's5': 70.37037037037037, 's3': nan, 's2': nan, 's7': 37.03703703703704, 's1': nan, 's4': nan}, 'all': 52.77777777777778}}								output
s1														{'amount': 151.5, 'level': 3.5, 'RT': 1.702026834897697, 'varlevel': 1.6111111111111112, 'stop': 0}							output
s2														{'amount': 156.4, 'level': 3.6, 'RT': 1.9504063776694238, 'varlevel': 0.2666666666666667, 'stop': 0}							output
s3														{'amount': 164.7, 'level': 3.8, 'RT': 2.0700657719513402, 'varlevel': 0.39999999999999997, 'stop': 0}							output
s4														{'amount': 187.7, 'level': 4.3, 'RT': 1.9114954812219367, 'varlevel': 0.6777777777777777, 'stop': 0}							output
s5														{'amount': 148.1, 'level': 3.4, 'RT': 1.9698465588036924, 'varlevel': 0.2666666666666667, 'stop': 1}							output
s6														{'amount': 151.5, 'level': 3.5, 'RT': 2.259600396407768, 'varlevel': 0.9444444444444444, 'stop': 1}							output
s7														{'amount': 137.8, 'level': 3.2, 'RT': 1.4634194264886902, 'varlevel': 0.6222222222222222, 'stop': 1}							output
s8														{'amount': 167.6, 'level': 3.9, 'RT': 1.9682312379358335, 'varlevel': 0.7666666666666666, 'stop': 1}							output
ssrt													{'mSSD': 481.77083333333337, 'SSRT': 110.3444186698955}								output
valuenostop														3.8							output
valuestop														3.5							output
SSD	25.6														3			250		0.0	settings
SSDincrement	25.6														3			50		0.0	settings
betdelay	25.6						1.5								3					0.0	settings
betfix	25.6					DrawFormattedText(10,'+','center','center',[150  150  150]);									3					0.0	settings
bets	25.6				[ 7  9 10 11 13 14]										3					0.0	settings
betstim	25.6						5.0								3					0.0	settings
bettrial	25.6						6.0								3					0.0	settings
blocks	25.6			4							4				3			8		0.0	settings
colors	25.6									"[[   0.   255.     0. ]
 [   0.     0.   255. ]
 [   0.   255.   255. ]
 [ 255.     0.   255. ]
 [ 255.   255.     0. ]
 [ 255.   127.5    0. ]
 [ 255.   255.   255. ]
 [ 127.5  127.5  127.5]]"					3				[4 7 6 5 8 3 1 2]	0.0	settings
distribution	25.6										uniform				3					0.0	settings
fix	25.6					Screen('DrawLine',10,[150  150  150],320,540,1600,540,2);Screen('DrawLine',10,[150  150  150],960,180,960,900,2);	0.5								3					0.0	settings
fixcolor	25.6									[150 150 150]					3					0.0	settings
introsize	25.6									40					3					0.0	settings
layout	25.6														3				[3 5 4 6 1 2 8 7]	0.0	settings
learning	25.6														3	907.0				0.0	settings
learnstim	25.6						1.0								3					0.0	settings
learntrial	25.6						3.0								3					0.0	settings
left	25.6				6										3					0.0	settings
levels	25.6			5											3					0.0	settings
magnitudes	25.6										[ 50 100 200 400]				3					0.0	settings
ne	25.6				54										3					0.0	settings
nw	25.6				27										3					0.0	settings
ow	25.6														3		10			0.0	settings
owd	25.6														3		[   0    0 1920 1080]			0.0	settings
parameter	25.6										25				3					0.0	settings
pointsize	25.6									80					3					0.0	settings
prob	25.6														3			[ 0.    0.75]		0.0	settings
redcolor	25.6									[255   0   0]					3					0.0	settings
reward	25.6						1.0								3					0.0	settings
right	25.6				16										3					0.0	settings
scalingfactor	25.6			5											3					0.0	settings
se	25.6				231										3					0.0	settings
start	25.6			30											3					0.0	settings
stepsize	25.6			6											3					0.0	settings
stop	25.6					PsychPortAudio('Start', 0, 1, 0, 1);									3					0.0	settings
stopfix	25.6					Screen('DrawLine',10,[150  150  150],960,180,960,900,2);									3					0.0	settings
stopstim	25.6						1.5								3					0.0	settings
stoptrial	25.6						3.0								3					0.0	settings
sw	25.6				227										3					0.0	settings
trials	25.6			10							40				3			36		0.0	settings
type	25.6			6keys											3					0.0	settings
zerotrials	25.6										10				3					0.0	settings
