	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	goResp.rt	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
0																																																	[]	[]	[]	[]	[]	9.0	83.2789468765																																																																							2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
1	200.0	w	200.0				0.0	0.0	0.0	4.0																																														w	1.0	0.767895936966	None	0.0	0.5	invertedtriangleyellow.gif	go	0.6	0.508510112762	0.0496048927307	0.767895936966	1.0	w	100.155676842																																																								2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
2	-200.0	q	200.0				0.0	1.0	1.0	5.0																																														q	1.0	0.567468166351	None	0.0	4.0	squarecyan.gif	stop	4.04	0.514502048492	0.04382109642030001	0.567468166351	1.0	q	103.15862178799999																																																								2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
3	-200.0	a	-200.0				0.0	2.0	2.0	7.0																																														a	1.0	0.534225940704	None	0.0	4.0	squarecyan.gif	stop	4.15	0.515158176422	0.0008940696716310001	0.534225940704	1.0	a	106.16175890000001																																																								2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
4	-200.0	a	-200.0				0.0	3.0	3.0	3.0																																														a	1.0	0.534171104431	None	0.0	4.0	squarecyan.gif	stop	4.04	0.51522397995	0.0008859634399410001	0.534171104431	1.0	a	109.165012836																																																								2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
5	200.0	w	200.0				0.0	4.0	4.0	8.0																																														w	1.0	0.751237154007	None	0.0	1.0	hexagongreen.gif	stop	1.0	0.515125989914	0.012910127639799998	0.751237154007	1.0	w	112.168541908																																																								2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
6	-200.0	q	200.0				0.0	5.0	5.0	1.0																																														q	1.0	0.40061497688299996	None	0.0	1.0	trianglewhite.gif	go	1.22	0.515485048294	0.0456221103668	0.40061497688299996	1.0	q	115.171955824																																																								2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
7	-200.0	q	200.0				0.0	6.0	6.0	9.0																																														q	1.0	0.400490045547	None	0.0	0.5	invertedtriangleyellow.gif	go	0.52	0.5154500007630001	0.000900983810425	0.400490045547	1.0	q	118.175511837																																																								2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
8	200.0	w	200.0				0.0	7.0	7.0	0.0																																														w	1.0	0.367093086243	None	0.0	0.5	invertedtriangleyellow.gif	go	0.27	0.5152659416200001	0.0008931159973139998	0.367093086243	1.0	w	121.17871594399999																																																								2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
9	200.0	s	-200.0				0.0	8.0	8.0	2.0																																														s	1.0	0.45150995254500004	None	0.0	0.5	diamondmagenta.gif	stop	0.0	0.514941215515	0.0056321620941200004	0.45150995254500004	1.0	s	124.18195891399999																																																								2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
10	200.0	s	-200.0				0.0	9.0	9.0	6.0																																														s	1.0	0.400850057602	None	0.0	4.0	squarecyan.gif	stop	3.87	0.5151481628419999	0.0010290145874	0.400850057602	1.0	s	127.185244799																																																								2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
11				m	0.0	200.0										0.0	0.0	0.0	1.0																																																				180.616798878	stop	circleblue.gif	stop	2.0	None	0.0	None	0.0	0.03649091720580001	0.511229038239	0.7616150379180001	183.615723848																																											2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
12				m	0.0	200.0										0.0	1.0	1.0	1.0																																																				183.61611199400002	stop	circleblue.gif	stop	2.0	None	0.0	None	0.0	0.00095009803772	0.5153028964999999	0.766022920609	186.618906975																																											2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
13				z	0.0	-200.0										1.0	0.0	2.0	0.0																																																				186.61930894900001	stop	circleblue.gif	stop	2.0	z	1.0	None	0.0	0.000977039337158	0.515483140945	0.765944004059	189.62218785299999	0.41762804985																																										2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
14				z	0.0	-200.0										1.0	1.0	3.0	0.0																																																				189.62255096400003	stop	hexagongreen.gif	stop	1.0	None	0.0	None	0.0	0.00118708610535	0.515912055969	0.7660570144650001	192.625341892																																											2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
15				z	0.0	-200.0										2.0	0.0	4.0	0.0																																																				192.625703812	go	crossorange.gif	go	2.0	z	1.0	None	0.0	0.044119834899900005	0.515921831131		195.628724813	0.634935855865																																										2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
16				z	0.0	-200.0										2.0	1.0	5.0	0.0																																																				195.629086971	stop	squarecyan.gif	stop	4.0	None	0.0	None	0.0	0.000943899154663	0.515826940536	0.766175031662	198.63219094299998																																											2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
17				z	0.0	-200.0										3.0	0.0	6.0	0.0																																																				198.63259196299998	stop	diamondmagenta.gif	stop	0.5	None	0.0	None	0.0	0.0010039806366	0.515611886978	0.765567064285	201.635736942																																											2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
18				m	0.0	200.0										3.0	1.0	7.0	1.0																																																				201.636096954	go	linegray.gif	go	4.0	m	1.0	None	0.0	0.00772500038147	0.5156619548800001		204.639009953	0.601390123367																																										2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
19				m	0.0	200.0										4.0	0.0	8.0	1.0																																																				204.639369965	go	linegray.gif	go	4.0	m	1.0	None	0.0	0.0009448528289790001	0.515736818314		207.642426968	0.634310007095																																										2015_Jul_06_1244	59.8626997063	LearningTask	1	78	
