	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	fourthComputedRewardOutput	fourthLearningStimOnset	fourthLearningFixOnset	fourthPresentationRT	fourthPresentationAcc	fourthPresentationResp	fourthEndTrialTimeStamp	fifthComputedRewardOutput	fifthLearningStimOnset	fifthLearningFixOnset	fifthPresentationRT	fifthPresentationAcc	fifthPresentationResp	fifthEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 159
0																																																	[]	[]	[]	[]	[]	9.0	45.14564108850001																																																																																																				2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
1	200.0	s	-200.0				0.0	0.0	0.0	6.0																																														s	1.0	0.434093952179	None	0.0	0.026632070541400002	0.5	hexagongray.gif	go	0.0	0.510489940643	0.045131921768199995	0.517576932907	0.0	w	104.914314985	0.26	0.5155990123749999	0.0010199546814	0.434093952179	1.0	s	107.91759896299999																																																																													2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
2	200.0	s	-200.0				0.0	1.0	1.0	2.0																																														s	1.0	0.41718101501500005	None	0.0		4.0	invertedtriangleyellow.gif	stop	3.98	0.5151720047	0.0555160045624	0.41718101501500005	1.0	s	110.920659065																																																																																				2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
3	-200.0	a	-200.0				0.0	2.0	2.0	3.0																																														a	1.0	0.41748094558700005	None	0.0		1.0	circlemagenta.gif	stop	0.0	0.515108108521	0.0130279064178	0.417661905289	0.0	q	113.92394900299999	0.8	0.5162780284880001	0.0009629726409910001	0.41748094558700005	1.0	a	116.92750406299999																																																																													2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
4	-200.0	a	-200.0				0.0	3.0	3.0	7.0																																														a	1.0	0.41741085052500004	None	0.0		4.0	invertedtriangleyellow.gif	stop	3.91	0.5146970748899999	0.000922918319702	0.41741085052500004	1.0	a	119.93082118																																																																																				2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
5	200.0	w	200.0				0.0	4.0	4.0	8.0																																														w	1.0	0.40098285674999995	None	0.0		1.0	squarewhite.gif	go	1.04	0.514811038971	0.038539886474599994	0.40098285674999995	1.0	w	122.93402600299999																																																																																				2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
6	-200.0	q	200.0				0.0	5.0	5.0	5.0																																														q	1.0	0.451030015945	None	0.0		4.0	invertedtriangleyellow.gif	stop	4.15	0.515050888062	0.00110697746277	0.451030015945	1.0	q	125.937709093																																																																																				2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
7	200.0	w	200.0				0.0	6.0	6.0	4.0																																														w	1.0	0.384443998337	None	0.0		2.0	triangleorange.gif	go	2.01	0.514460086823	0.0174992084503	0.384443998337	1.0	w	128.94071912799998																																																																																				2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
8	-200.0	q	200.0				0.0	7.0	7.0	9.0																																														q	1.0	0.467677116394	None	0.0		4.0	invertedtriangleyellow.gif	stop	4.25	0.515367984772	0.0009059906005860001	0.467677116394	1.0	q	131.944100142																																																																																				2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
9	200.0	w	200.0				0.0	8.0	8.0	0.0																																														w	1.0	0.500629901886	None	0.0		4.0	invertedtriangleyellow.gif	stop	4.19	0.5154600143429999	0.0009379386901860002	0.500629901886	1.0	w	134.94749617600002																																																																																				2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
10	-200.0	q	200.0				0.0	9.0	9.0	1.0																																														q	1.0	0.484432935715	None	0.0		2.0	crossblue.gif	stop	2.07	0.515174150467	0.0343420505524	0.484432935715	1.0	q	137.950867176																																																																																				2015_Jul_02_1246	59.990531508500005	LearningTask	1	14	
