	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
0																																																	[]	[]	[]	[]	[]	9.0	58.6020948887																																																																							2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
1	200.0	w	200.0				0.0	0.0	0.0	8.0																																														w	1.0	0.617772817612	None	0.0	2.0	squaremagenta.gif	stop	0.0	0.500752925873	0.019429922103900002	0.617772817612	1.0	w	128.589436054																																																								2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
2	200.0	w	200.0				0.0	1.0	1.0	0.0																																														w	1.0	0.500532150269	None	0.0	2.0	squaremagenta.gif	stop	1.93	0.514853954315	0.0008959770202639998	0.500532150269	1.0	w	131.59261298200002																																																								2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
3	-200.0	q	200.0				0.0	2.0	2.0	9.0																																														q	1.0	0.467746973038	None	0.0	2.0	circleyellow.gif	go	2.08	0.515094041824	0.0170509815216	0.467746973038	1.0	q	134.595916986																																																								2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
4	200.0	s	-200.0				0.0	3.0	3.0	6.0																																														s	1.0	0.501441955566	None	0.0	0.5	invertedtriangleblue.gif	go	0.62	0.515486955643	0.00993895530701	0.501441955566	1.0	s	137.599279881																																																								2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
5	200.0	s	-200.0				0.0	4.0	4.0	2.0																																														s	1.0	0.5178480148319999	None	0.0	1.0	crossgreen.gif	go	1.02	0.515009880066	0.022449016571	0.5178480148319999	1.0	s	140.603102922																																																								2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
6	-200.0	a	-200.0				0.0	5.0	5.0	7.0																																														a	1.0	0.367735862732	None	0.0	0.5	invertedtriangleblue.gif	go	0.0	0.5144951343540001	0.0009241104125980002	0.367735862732	1.0	a	143.606050968																																																								2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
7	-200.0	q	200.0				0.0	6.0	6.0	5.0																																														q	1.0	0.41749906539899995	None	0.0	1.0	hexagoncyan.gif	stop	0.94	0.515202045441	0.0349450111389	0.41749906539899995	1.0	q	146.609487057																																																								2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
8	200.0	w	200.0				0.0	7.0	7.0	4.0																																														w	1.0	0.40144395828199997	None	0.0	2.0	squaremagenta.gif	stop	1.88	0.5150001049040001	0.0010449886322	0.40144395828199997	1.0	w	149.612663031																																																								2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
9	-200.0	a	-200.0				0.0	8.0	8.0	3.0																																														a	1.0	0.417685031891	None	0.0	0.5	invertedtriangleblue.gif	go	0.0	0.5150949954990001	0.00101017951965	0.417685031891	1.0	a	152.616396904																																																								2015_Jul_07_1410	59.87774062850001	LearningTask	1	82	
