	auctionStimValue	auctionCondition	chosenAuctionAmount	subcode
716	0.5	go	0.0	sub-020
717	4.0	stop	220.0	sub-020
718	1.0	go	147.0	sub-020
719	2.0	go	78.0	sub-020
720	4.0	go	162.0	sub-020
721	0.5	stop	136.0	sub-020
722	2.0	go	54.0	sub-020
723	2.0	go	68.0	sub-020
724	0.5	stop	136.0	sub-020
725	4.0	go	234.0	sub-020
726	4.0	stop	39.0	sub-020
727	0.5	go	117.0	sub-020
728	1.0	go	220.0	sub-020
729	1.0	go	156.0	sub-020
730	1.0	stop	102.0	sub-020
731	2.0	go	98.0	sub-020
732	4.0	stop	270.0	sub-020
733	4.0	go	216.0	sub-020
734	1.0	stop	270.0	sub-020
735	0.5	go	196.0	sub-020
736	1.0	go	204.0	sub-020
737	2.0	go	102.0	sub-020
738	2.0	stop	170.0	sub-020
739	1.0	go	245.0	sub-020
740	0.5	stop	216.0	sub-020
741	4.0	stop	49.0	sub-020
742	4.0	stop	98.0	sub-020
743	2.0	stop	264.0	sub-020
744	1.0	go	220.0	sub-020
745	2.0	stop	294.0	sub-020
746	2.0	go	264.0	sub-020
747	4.0	go	234.0	sub-020
748	4.0	go	68.0	sub-020
749	1.0	stop	88.0	sub-020
750	1.0	go	102.0	sub-020
751	2.0	go	270.0	sub-020
752	4.0	stop	264.0	sub-020
753	0.5	go	216.0	sub-020
754	2.0	stop	98.0	sub-020
755	1.0	stop	220.0	sub-020
756	4.0	go	44.0	sub-020
757	0.5	stop	156.0	sub-020
758	4.0	go	34.0	sub-020
759	0.5	go	68.0	sub-020
760	0.5	stop	49.0	sub-020
761	4.0	stop	39.0	sub-020
762	0.5	go	78.0	sub-020
763	0.5	go	44.0	sub-020
764	4.0	go	88.0	sub-020
765	4.0	go	196.0	sub-020
766	1.0	stop	117.0	sub-020
767	0.5	go	162.0	sub-020
768	0.5	stop	324.0	sub-020
769	0.5	stop	98.0	sub-020
770	2.0	stop	324.0	sub-020
771	0.5	go	132.0	sub-020
772	2.0	stop	78.0	sub-020
773	1.0	go	270.0	sub-020
774	4.0	go	294.0	sub-020
775	0.5	stop	195.0	sub-020
776	1.0	stop	102.0	sub-020
777	4.0	stop	324.0	sub-020
778	2.0	stop	216.0	sub-020
779	1.0	stop	294.0	sub-020
780	2.0	go	176.0	sub-020
781	1.0	go	54.0	sub-020
782	4.0	stop	136.0	sub-020
783	1.0	go	117.0	sub-020
784	0.5	go	196.0	sub-020
785	1.0	stop	54.0	sub-020
786	1.0	stop	196.0	sub-020
787	4.0	stop	68.0	sub-020
788	2.0	go	98.0	sub-020
789	2.0	stop	68.0	sub-020
790	0.5	stop	88.0	sub-020
791	1.0	stop	78.0	sub-020
792	2.0	stop	88.0	sub-020
793	2.0	go	78.0	sub-020
794	2.0	stop	117.0	sub-020
795	0.5	stop	264.0	sub-020
716	1.0	stop	108.0	sub-068
717	1.0	go	0.0	sub-068
718	2.0	go	216.0	sub-068
719	2.0	stop	196.0	sub-068
720	0.5	stop	68.0	sub-068
721	1.0	stop	98.0	sub-068
722	0.5	go	270.0	sub-068
723	4.0	go	204.0	sub-068
724	0.5	stop	54.0	sub-068
725	2.0	go	195.0	sub-068
726	0.5	go	34.0	sub-068
727	4.0	stop	264.0	sub-068
728	2.0	go	196.0	sub-068
729	0.5	go	39.0	sub-068
730	4.0	stop	204.0	sub-068
731	1.0	go	98.0	sub-068
732	0.5	go	54.0	sub-068
733	4.0	go	234.0	sub-068
734	2.0	stop	162.0	sub-068
735	1.0	go	88.0	sub-068
736	4.0	go	204.0	sub-068
737	2.0	stop	108.0	sub-068
738	2.0	stop	204.0	sub-068
739	1.0	stop	102.0	sub-068
740	2.0	go	216.0	sub-068
741	2.0	stop	176.0	sub-068
742	2.0	go	102.0	sub-068
743	0.5	go	44.0	sub-068
744	0.5	go	49.0	sub-068
745	2.0	go	196.0	sub-068
746	4.0	go	264.0	sub-068
747	2.0	go	220.0	sub-068
748	0.5	stop	34.0	sub-068
749	1.0	stop	88.0	sub-068
750	0.5	stop	49.0	sub-068
751	1.0	go	102.0	sub-068
752	2.0	stop	220.0	sub-068
753	1.0	go	108.0	sub-068
754	2.0	go	195.0	sub-068
755	0.5	go	44.0	sub-068
756	1.0	stop	102.0	sub-068
757	4.0	go	264.0	sub-068
758	1.0	go	117.0	sub-068
759	0.5	stop	54.0	sub-068
760	2.0	stop	195.0	sub-068
761	1.0	stop	98.0	sub-068
762	0.5	stop	49.0	sub-068
763	1.0	go	195.0	sub-068
764	1.0	go	98.0	sub-068
765	4.0	go	294.0	sub-068
766	4.0	stop	294.0	sub-068
767	1.0	go	102.0	sub-068
768	2.0	go	204.0	sub-068
769	0.5	stop	39.0	sub-068
770	4.0	stop	324.0	sub-068
771	4.0	stop	264.0	sub-068
772	0.5	stop	44.0	sub-068
773	2.0	stop	204.0	sub-068
