xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,feedbackResp.rt,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,secondPracComputedRewardOutput,secondPracLearningStimOnset,secondPracLearningFixOnset,secondPracPresentationRT,secondPracPresentationAcc,secondPracPresentationResp,secondPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,thirdComputedRewardOutput,thirdLearningStimOnset,thirdLearningFixOnset,thirdPresentationRT,thirdPresentationAcc,thirdPresentationResp,thirdEndTrialTimeStamp,fourthComputedRewardOutput,fourthLearningStimOnset,fourthLearningFixOnset,fourthPresentationRT,fourthPresentationAcc,fourthPresentationResp,fourthEndTrialTimeStamp,fifthComputedRewardOutput,fifthLearningStimOnset,fifthLearningFixOnset,fifthPresentationRT,fifthPresentationAcc,fifthPresentationResp,fifthEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,auctionResponse.rt,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],9,45.1456410885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
200,s,-200,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.434093952179,None,0,0.0266320705414,0.5,hexagongray.gif,go,0,0.510489940643,0.0451319217682,0.517576932907,0,w,104.914314985,0.26,0.515599012375,0.0010199546814,0.434093952179,1,s,107.917598963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
200,s,-200,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.417181015015,None,0,,4.0,invertedtriangleyellow.gif,stop,3.98,0.5151720047,0.0555160045624,0.417181015015,1,s,110.920659065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,a,-200,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.417480945587,None,0,,1.0,circlemagenta.gif,stop,0,0.515108108521,0.0130279064178,0.417661905289,0,q,113.923949003,0.8,0.516278028488,0.000962972640991,0.417480945587,1,a,116.927504063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,a,-200,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.417410850525,None,0,,4.0,invertedtriangleyellow.gif,stop,3.91,0.51469707489,0.000922918319702,0.417410850525,1,a,119.93082118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
200,w,200,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.40098285675,None,0,,1.0,squarewhite.gif,go,1.04,0.514811038971,0.0385398864746,0.40098285675,1,w,122.934026003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,q,200,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.451030015945,None,0,,4.0,invertedtriangleyellow.gif,stop,4.15,0.515050888062,0.00110697746277,0.451030015945,1,q,125.937709093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
200,w,200,,,,0,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.384443998337,None,0,,2.0,triangleorange.gif,go,2.01,0.514460086823,0.0174992084503,0.384443998337,1,w,128.940719128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
-200,q,200,,,,0,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.467677116394,None,0,,4.0,invertedtriangleyellow.gif,stop,4.25,0.515367984772,0.000905990600586,0.467677116394,1,q,131.944100142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
200,w,200,,,,0,8,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.500629901886,None,0,,4.0,invertedtriangleyellow.gif,stop,4.19,0.515460014343,0.000937938690186,0.500629901886,1,w,134.947496176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_02_1246,59.9905315085,LearningTask,1,14,
