xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,feedbackResp.rt,beginningSSD,EndingSSD,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],9,57.6376168728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
-200,q,200,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.867943048477,None,0,0.5,squaregreen.gif,go,0.6,0.512494087219,0.074520111084,0.867943048477,1,q,123.828341007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
200,w,200,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.534878969193,None,0,2.0,diamondblue.gif,stop,1.84,0.514429092407,0.0162601470947,0.534878969193,1,w,126.831009865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
200,s,-200,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.384464979172,None,0,0.5,circleyellow.gif,stop,0,0.5151450634,0.0265960693359,0.384464979172,1,s,129.83433795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
-200,q,200,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.451366901398,None,0,4.0,lineorange.gif,go,4.07,0.514820098877,0.0173709392548,0.451366901398,1,q,132.837824821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
200,s,-200,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.384119987488,None,0,2.0,hexagongray.gif,go,0,0.514667987823,0.0222418308258,0.384119987488,1,s,135.84125185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
200,w,200,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.467750072479,None,0,2.0,hexagongray.gif,go,2.07,0.515054225922,0.000943183898926,0.467750072479,1,w,138.844790936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
-200,a,-200,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.434187173843,None,0,0.5,circleyellow.gif,stop,0.68,0.514366149902,0.00096607208252,0.434187173843,1,a,141.848007917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
-200,a,-200,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.434292078018,None,0,1.0,crosswhite.gif,stop,0,0.514904022217,0.0329260826111,0.434292078018,1,a,144.851160049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
-200,q,200,,,,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.400979995728,None,0,1.0,crosswhite.gif,stop,0.82,0.515035152435,0.000971078872681,0.400979995728,1,q,147.854931831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
200,w,200,,,,0,9,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.417816162109,None,0,4.0,trianglemagenta.gif,stop,0,0.51452589035,0.0164380073547,0.417816162109,1,w,150.858393908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
,,,m,0,200,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.610306025,stop,circleyellow.gif,stop,0.5,m,1,0.467547893524,None,0,0.00137186050415,0.505244970322,0.755767822266,206.603385925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
,,,m,0,200,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.603824854,stop,crosswhite.gif,stop,1.0,None,0,,None,0,0.000995874404907,0.515321969986,0.766069889069,209.606669903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
,,,m,0,200,,,,,,,,,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.607148886,stop,crosswhite.gif,stop,1.0,m,1,0.400761842728,None,0,0.00110101699829,0.515413999557,0.765768051147,212.609822989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
,,,z,0,-200,,,,,,,,,,1,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.610254049,stop,diamondblue.gif,stop,2.0,None,0,,None,0,0.00849413871765,0.515737056732,0.766021966934,215.613363981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
,,,z,0,-200,,,,,,,,,,2,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.613721848,stop,circleyellow.gif,stop,0.5,None,0,,None,0,0.00108194351196,0.515846014023,0.765944957733,218.616927862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
,,,z,0,-200,,,,,,,,,,2,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.617328882,go,invertedtrianglecyan.gif,go,1.0,z,1,0.650712966919,None,0,0.0137000083923,0.51571893692,,221.619882822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
,,,m,0,200,,,,,,,,,,3,0,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.620306015,stop,diamondblue.gif,stop,2.0,None,0,,None,0,0.000984907150269,0.515740871429,0.766054868698,224.623354912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
,,,m,0,200,,,,,,,,,,3,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.623759031,go,hexagongray.gif,go,2.0,m,1,0.851380825043,None,0,0.00732278823853,0.515549898148,,227.626629829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_30_1020,60.1203753739,LearningTask,1,68,
