	LU	Nr	age	betting	buttons	commands	duration	gender	hand	layout	learning	p1	p2	p3	phase	reward	screen	stopping	symbols	training	which_info
count		111	20					m	r						3						data
RT												{'symbols': {'s6': 345.59928881470114, 's8': 353.32937797065824, 's5': 346.58594720996916, 's3': 374.14248247630894, 's2': 358.39972546324134, 's7': 340.67128852941096, 's1': 374.53817314933985, 's4': 352.9186374042183}, 'all': 355.773115127231, 'blocks': {'b4': 336.01675753248855, 'b2': 358.28857800224796, 'b1': 330.74047598289326, 'b3': 398.0466489912942}}	{'cor': 559.072378980151, 'symbols': {'s6': 646.4101817044947, 's8': 593.949158831189, 's5': 540.8057752841463, 's3': 499.28936803998016, 's2': 574.2194799240679, 's7': 469.60264030430056, 's1': 558.2625514232658, 's4': 600.8985564824089}, 'failstop': 456.3254546693654, 'err': nan}								output
errmissrate												3.25									output
numbers													{'stop': {'succ': 57, 'fail': 51, 'all': 108}, 'all': 288, 'go': {'miss': 0, 'cor': 180, 'all': 180, 'err': 0}}								output
rates													{'miss': 0, 'stop': 37.5, 'err': 0, 'stopsucc': {'symbols': {'s6': 44.44444444444444, 's8': 59.25925925925926, 's5': 51.851851851851855, 's3': nan, 's2': nan, 's7': 55.55555555555556, 's1': nan, 's4': nan}, 'all': 52.77777777777778}}								output
s1														{'amount': 128.5, 'level': 3, 'RT': 2.8191926253726707, 'varlevel': 0.8888888888888888, 'stop': 0}							output
s2														{'amount': 96.2, 'level': 2.3, 'RT': 2.538725242903456, 'varlevel': 0.8999999999999999, 'stop': 0}							output
s3														{'amount': 66.5, 'level': 1.5, 'RT': 1.5617379383184016, 'varlevel': 0.5, 'stop': 0}							output
s4														{'amount': 147, 'level': 3.5, 'RT': 2.576982918079011, 'varlevel': 1.8333333333333333, 'stop': 0}							output
s5														{'amount': 152.4, 'level': 3.6, 'RT': 2.0819139220984653, 'varlevel': 1.1555555555555557, 'stop': 1}							output
s6														{'amount': 215.5, 'level': 5, 'RT': 2.1342826455365866, 'varlevel': 0.8888888888888888, 'stop': 1}							output
s7														{'amount': 140.3, 'level': 3.2, 'RT': 2.16921253639739, 'varlevel': 0.8444444444444444, 'stop': 1}							output
s8														{'amount': 102.2, 'level': 2.3, 'RT': 2.111869198246859, 'varlevel': 0.6777777777777777, 'stop': 1}							output
ssrt													{'mSSD': 434.5486111111111, 'SSRT': 124.52376786903994}								output
valuenostop														2.575							output
valuestop														3.525							output
SSD	25.6														3			250		0.0	settings
SSDincrement	25.6														3			50		0.0	settings
betdelay	25.6						1.5								3					0.0	settings
betfix	25.6					DrawFormattedText(10,'+','center','center',[150  150  150]);									3					0.0	settings
bets	25.6				[ 7  9 10 11 13 14]										3					0.0	settings
betstim	25.6						5.0								3					0.0	settings
bettrial	25.6						6.0								3					0.0	settings
blocks	25.6			4							4				3			8		0.0	settings
colors	25.6									"[[   0.   255.     0. ]
 [   0.     0.   255. ]
 [   0.   255.   255. ]
 [ 255.     0.   255. ]
 [ 255.   255.     0. ]
 [ 255.   127.5    0. ]
 [ 255.   255.   255. ]
 [ 127.5  127.5  127.5]]"					3				[3 5 6 8 1 4 7 2]	0.0	settings
distribution	25.6										uniform				3					0.0	settings
fix	25.6					Screen('DrawLine',10,[150  150  150],320,540,1600,540,2);Screen('DrawLine',10,[150  150  150],960,180,960,900,2);	0.5								3					0.0	settings
fixcolor	25.6									[150 150 150]					3					0.0	settings
introsize	25.6									40					3					0.0	settings
layout	25.6														3				[2 1 8 6 7 4 5 3]	0.0	settings
learning	25.6														3	363.0				0.0	settings
learnstim	25.6						1.0								3					0.0	settings
learntrial	25.6						3.0								3					0.0	settings
left	25.6				6										3					0.0	settings
levels	25.6			5											3					0.0	settings
magnitudes	25.6										[ 50 100 200 400]				3					0.0	settings
ne	25.6				54										3					0.0	settings
nw	25.6				27										3					0.0	settings
ow	25.6														3		10			0.0	settings
owd	25.6														3		[   0    0 1920 1080]			0.0	settings
parameter	25.6										25				3					0.0	settings
pointsize	25.6									80					3					0.0	settings
prob	25.6														3			[ 0.    0.75]		0.0	settings
redcolor	25.6									[255   0   0]					3					0.0	settings
reward	25.6						1.0								3					0.0	settings
right	25.6				16										3					0.0	settings
scalingfactor	25.6			5											3					0.0	settings
se	25.6				231										3					0.0	settings
start	25.6			30											3					0.0	settings
stepsize	25.6			6											3					0.0	settings
stop	25.6					PsychPortAudio('Start', 0, 1, 0, 1);									3					0.0	settings
stopfix	25.6					Screen('DrawLine',10,[150  150  150],960,180,960,900,2);									3					0.0	settings
stopstim	25.6						1.5								3					0.0	settings
stoptrial	25.6						3.0								3					0.0	settings
sw	25.6				227										3					0.0	settings
trials	25.6			10							40				3			36		0.0	settings
type	25.6			6keys											3					0.0	settings
zerotrials	25.6										10				3					0.0	settings
