	LU	Nr	age	betting	buttons	commands	duration	gender	hand	layout	learning	p1	p2	p3	phase	reward	screen	stopping	symbols	training	which_info
count		96	20					f	r						3						data
RT												{'symbols': {'s6': 363.45381489064494, 's8': 376.51974019512636, 's5': 357.71187642403675, 's3': 359.50756951930543, 's2': 373.9385396281432, 's7': 367.46368549023373, 's1': 393.68428545466486, 's4': 367.39718223956515}, 'all': 369.95958673021505, 'blocks': {'b4': 362.50805849257176, 'b2': 368.64368010991257, 'b1': 389.73567884043405, 'b3': 358.9509294779418}}	{'cor': 612.656284115743, 'symbols': {'s6': 645.0276752926685, 's8': 741.6646438309222, 's5': 742.6577594016331, 's3': 578.451351091063, 's2': 675.2882047866883, 's7': 638.5592481692584, 's1': 558.0334651578167, 's4': 555.2434091046936}, 'failstop': 503.55297152844594, 'err': 458.3005685817625}								output
errmissrate												0.75									output
numbers													{'stop': {'succ': 48, 'fail': 60, 'all': 108}, 'all': 288, 'go': {'miss': 0, 'cor': 179, 'all': 180, 'err': 1}}								output
rates													{'miss': 0, 'stop': 37.5, 'err': 0.5555555555555556, 'stopsucc': {'symbols': {'s6': 51.851851851851855, 's8': 40.74074074074074, 's5': 51.851851851851855, 's3': nan, 's2': nan, 's7': 33.333333333333336, 's1': nan, 's4': nan}, 'all': 44.44444444444444}}								output
s1														{'amount': 84.5, 'level': 2, 'RT': 2.2463626643873793, 'varlevel': 1.5555555555555556, 'stop': 0}							output
s2														{'amount': 135.9, 'level': 3.1, 'RT': 2.3872762475832134, 'varlevel': 0.5444444444444445, 'stop': 0}							output
s3														{'amount': 151.5, 'level': 3.5, 'RT': 1.9544418290492103, 'varlevel': 2.7222222222222223, 'stop': 0}							output
s4														{'amount': 250.8, 'level': 5.7, 'RT': 2.3665469676390787, 'varlevel': 0.4555555555555555, 'stop': 0}							output
s5														{'amount': 61.1, 'level': 1.4, 'RT': 1.8717547817089326, 'varlevel': 0.2666666666666667, 'stop': 1}							output
s6														{'amount': 149, 'level': 3.5, 'RT': 1.6935239291048674, 'varlevel': 1.6111111111111112, 'stop': 1}							output
s7														{'amount': 82.6, 'level': 1.9, 'RT': 2.7738613471299685, 'varlevel': 0.5444444444444443, 'stop': 1}							output
s8														{'amount': 238.6, 'level': 5.4, 'RT': 1.782421929472639, 'varlevel': 0.4888888888888888, 'stop': 1}							output
ssrt													{'mSSD': 363.19444444444446, 'SSRT': 249.46183967129855}								output
valuenostop														3.575							output
valuestop														3.05							output
SSD	25.6														3			250		0.0	settings
SSDincrement	25.6														3			50		0.0	settings
betdelay	25.6						1.5								3					0.0	settings
betfix	25.6					DrawFormattedText(10,'+','center','center',[150  150  150]);									3					0.0	settings
bets	25.6				[ 7  9 10 11 13 14]										3					0.0	settings
betstim	25.6						5.0								3					0.0	settings
bettrial	25.6						6.0								3					0.0	settings
blocks	25.6			4							4				3			8		0.0	settings
colors	25.6									"[[   0.   255.     0. ]
 [   0.     0.   255. ]
 [   0.   255.   255. ]
 [ 255.     0.   255. ]
 [ 255.   255.     0. ]
 [ 255.   127.5    0. ]
 [ 255.   255.   255. ]
 [ 127.5  127.5  127.5]]"					3				[8 2 5 4 1 3 7 6]	0.0	settings
distribution	25.6										uniform				3					0.0	settings
fix	25.6					Screen('DrawLine',10,[150  150  150],320,540,1600,540,2);Screen('DrawLine',10,[150  150  150],960,180,960,900,2);	0.5								3					0.0	settings
fixcolor	25.6									[150 150 150]					3					0.0	settings
introsize	25.6									40					3					0.0	settings
layout	25.6														3				[7 1 4 5 8 6 2 3]	0.0	settings
learning	25.6														3	603.0				0.0	settings
learnstim	25.6						1.0								3					0.0	settings
learntrial	25.6						3.0								3					0.0	settings
left	25.6				6										3					0.0	settings
levels	25.6			5											3					0.0	settings
magnitudes	25.6										[ 50 100 200 400]				3					0.0	settings
ne	25.6				54										3					0.0	settings
nw	25.6				27										3					0.0	settings
ow	25.6														3		10			0.0	settings
owd	25.6														3		[   0    0 1920 1080]			0.0	settings
parameter	25.6										25				3					0.0	settings
pointsize	25.6									80					3					0.0	settings
prob	25.6														3			[ 0.    0.75]		0.0	settings
redcolor	25.6									[255   0   0]					3					0.0	settings
reward	25.6						1.0								3					0.0	settings
right	25.6				16										3					0.0	settings
scalingfactor	25.6			5											3					0.0	settings
se	25.6				231										3					0.0	settings
start	25.6			30											3					0.0	settings
stepsize	25.6			6											3					0.0	settings
stop	25.6					PsychPortAudio('Start', 0, 1, 0, 1);									3					0.0	settings
stopfix	25.6					Screen('DrawLine',10,[150  150  150],960,180,960,900,2);									3					0.0	settings
stopstim	25.6						1.5								3					0.0	settings
stoptrial	25.6						3.0								3					0.0	settings
sw	25.6				227										3					0.0	settings
trials	25.6			10							40				3			36		0.0	settings
type	25.6			6keys											3					0.0	settings
zerotrials	25.6										10				3					0.0	settings
