	LU	Nr	age	betting	buttons	commands	duration	gender	hand	layout	learning	p1	p2	p3	phase	reward	screen	stopping	symbols	training	which_info
count		89	20					m	r						3						data
RT												{'symbols': {'s6': 435.33467359794486, 's8': 428.21503163462694, 's5': 439.686563362402, 's3': 447.1959573942877, 's2': 430.5712349817122, 's7': 430.8551640735095, 's1': 442.5287547362268, 's4': 460.5298921727808}, 'all': 439.36465899418636, 'blocks': {'b4': 437.52815136590925, 'b2': 433.06536103739745, 'b1': 434.7135706955987, 'b3': 452.15155287784}}	{'cor': 454.23777781247736, 'symbols': {'s6': 497.34461304660726, 's8': 448.9981108733648, 's5': 424.33870924327897, 's3': 438.0566935755926, 's2': 462.036764020354, 's7': 427.6243461199556, 's1': 458.5536971592824, 's4': 462.9652894863562}, 'failstop': 382.8450532618142, 'err': nan}								output
errmissrate												2.25									output
numbers													{'stop': {'succ': 55, 'fail': 53, 'all': 108}, 'all': 288, 'go': {'miss': 0, 'cor': 180, 'all': 180, 'err': 0}}								output
rates													{'miss': 0, 'stop': 37.5, 'err': 0, 'stopsucc': {'symbols': {'s6': 55.55555555555556, 's8': 62.96296296296296, 's5': 40.74074074074074, 's3': nan, 's2': nan, 's7': 44.44444444444444, 's1': nan, 's4': nan}, 'all': 50.925925925925924}}								output
s1														{'amount': 140.9, 'level': 3.1, 'RT': 0.5461626934002197, 'varlevel': 4.544444444444445, 'stop': 0}							output
s2														{'amount': 115.3, 'level': 2.7, 'RT': 0.7617525874662533, 'varlevel': 2.677777777777778, 'stop': 0}							output
s3														{'amount': 132.6, 'level': 2.9, 'RT': 0.8684254931682517, 'varlevel': 1.4333333333333336, 'stop': 0}							output
s4														{'amount': 134, 'level': 3, 'RT': 0.4184354316917961, 'varlevel': 1.3333333333333333, 'stop': 0}							output
s5														{'amount': 143.7, 'level': 3.3, 'RT': 0.8900548571494256, 'varlevel': 4.9, 'stop': 1}							output
s6														{'amount': 130.6, 'level': 2.9, 'RT': 0.6005683008748747, 'varlevel': 1.655555555555556, 'stop': 1}							output
s7														{'amount': 123.1, 'level': 2.9, 'RT': 0.4522003609512467, 'varlevel': 2.5444444444444447, 'stop': 1}							output
s8														{'amount': 142.7, 'level': 3.3, 'RT': 1.0183034031428178, 'varlevel': 2.677777777777778, 'stop': 1}							output
ssrt													{'mSSD': 195.3125, 'SSRT': 258.92527781247736}								output
valuenostop														2.925							output
valuestop														3.1							output
SSD	25.6														3			250		0.0	settings
SSDincrement	25.6														3			50		0.0	settings
betdelay	25.6						1.5								3					0.0	settings
betfix	25.6					DrawFormattedText(10,'+','center','center',[150  150  150]);									3					0.0	settings
bets	25.6				[ 7  9 10 11 13 14]										3					0.0	settings
betstim	25.6						5.0								3					0.0	settings
bettrial	25.6						6.0								3					0.0	settings
blocks	25.6			4							4				3			8		0.0	settings
colors	25.6									"[[   0.   255.     0. ]
 [   0.     0.   255. ]
 [   0.   255.   255. ]
 [ 255.     0.   255. ]
 [ 255.   255.     0. ]
 [ 255.   127.5    0. ]
 [ 255.   255.   255. ]
 [ 127.5  127.5  127.5]]"					3				[6 4 2 3 8 5 7 1]	0.0	settings
distribution	25.6										uniform				3					0.0	settings
fix	25.6					Screen('DrawLine',10,[150  150  150],320,540,1600,540,2);Screen('DrawLine',10,[150  150  150],960,180,960,900,2);	0.5								3					0.0	settings
fixcolor	25.6									[150 150 150]					3					0.0	settings
introsize	25.6									40					3					0.0	settings
layout	25.6														3				[4 5 1 2 7 8 3 6]	0.0	settings
learning	25.6														3	898.0				0.0	settings
learnstim	25.6						1.0								3					0.0	settings
learntrial	25.6						3.0								3					0.0	settings
left	25.6				6										3					0.0	settings
levels	25.6			5											3					0.0	settings
magnitudes	25.6										[ 50 100 200 400]				3					0.0	settings
ne	25.6				54										3					0.0	settings
nw	25.6				27										3					0.0	settings
ow	25.6														3		10			0.0	settings
owd	25.6														3		[   0    0 1920 1080]			0.0	settings
parameter	25.6										25				3					0.0	settings
pointsize	25.6									80					3					0.0	settings
prob	25.6														3			[ 0.    0.75]		0.0	settings
redcolor	25.6									[255   0   0]					3					0.0	settings
reward	25.6						1.0								3					0.0	settings
right	25.6				16										3					0.0	settings
scalingfactor	25.6			5											3					0.0	settings
se	25.6				231										3					0.0	settings
start	25.6			30											3					0.0	settings
stepsize	25.6			6											3					0.0	settings
stop	25.6					PsychPortAudio('Start', 0, 1, 0, 1);									3					0.0	settings
stopfix	25.6					Screen('DrawLine',10,[150  150  150],960,180,960,900,2);									3					0.0	settings
stopstim	25.6						1.5								3					0.0	settings
stoptrial	25.6						3.0								3					0.0	settings
sw	25.6				227										3					0.0	settings
trials	25.6			10							40				3			36		0.0	settings
type	25.6			6keys											3					0.0	settings
zerotrials	25.6										10				3					0.0	settings
