	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
0																																																	[]	[]	[]	[]	[]	9.0	101.56744194																																																																								2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
1	-200.0	a	-200.0				0.0	0.0	0.0	3.0																																														a	1.0	None	0.0	0.057842969894400006	2.0	invertedtriangleyellow.gif	go	0.0	0.507192850113	0.0210268497467	[]	0.0	None	122.077363014	0.567468881607	1.86	0.515612840652	0.00118184089661	0.567468881607	1.0	a	125.080601931																																																	2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
2	200.0	w	200.0				0.0	1.0	1.0	0.0																																														w	1.0	None	0.0		2.0	invertedtriangleyellow.gif	go	2.15	0.514720916748	0.0008940696716310001	0.551057100296	1.0	w	128.083502054	0.551057100296																																																								2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
3	200.0	w	200.0				0.0	2.0	2.0	4.0																																														w	1.0	None	0.0		0.5	hexagongreen.gif	go	0.35	0.515287876129	0.00130987167358	0.534335136414	1.0	w	131.087188005	0.534335136414																																																								2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
4	200.0	w	200.0				0.0	3.0	3.0	8.0																																														w	1.0	None	0.0		4.0	diamondmagenta.gif	go	0.0	0.51460814476	0.00138115882874	0.367506980896	1.0	w	134.090370893	0.367506980896																																																								2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
5	-200.0	q	200.0				0.0	4.0	4.0	5.0																																														q	1.0	None	0.0		1.0	triangleorange.gif	stop	0.82	0.515158891678	0.00130796432495	0.467772006989	1.0	q	137.094008923	0.467772006989																																																								2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
6	200.0	s	-200.0				0.0	5.0	5.0	6.0																																														s	1.0	None	0.0		2.0	invertedtriangleyellow.gif	go	2.09	0.5147621631620001	0.0012791156768800001	0.434714078903	1.0	s	140.096966982	0.43471407890299996																																																								2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
7	-200.0	q	200.0				0.0	6.0	6.0	9.0																																														q	1.0	None	0.0		0.5	hexagongreen.gif	go	0.27	0.515064001083	0.0009129047393799999	0.43413901329	1.0	q	143.100445986	0.43413901329																																																								2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
8	-200.0	a	-200.0				0.0	7.0	7.0	7.0																																														a	1.0	None	0.0		4.0	crossblue.gif	stop	0.0	0.5150380134579999	0.00130200386047	0.434314012527	1.0	a	146.103632927	0.434314012527																																																								2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
9	200.0	s	-200.0				0.0	8.0	8.0	2.0																																														s	1.0	None	0.0		4.0	diamondmagenta.gif	go	4.05	0.51496219635	0.00100803375244	0.501384973526	1.0	s	149.107258081	0.501384973526																																																								2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
10	-200.0	q	200.0				0.0	9.0	9.0	1.0																																														q	1.0	None	0.0		2.0	invertedtriangleyellow.gif	go	0.0	0.51487493515	0.000922918319702	0.534327983856	1.0	q	152.110266924	0.534327983856																																																								2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
11				m	0.0	200.0										0.0	0.0	0.0	1.0																																																												194.619739056	stop	crossblue.gif	stop	4.0	m	1.0	0.517910957336	None	0.0	0.0013380050659200001	0.5040328502660001	0.7542409896850001	197.61166501																																			2015_Jun_23_1140	59.9610295852	LearningTask	1	15	
