	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
0																																																	[]	[]	[]	[]	[]	9.0	79.2187049389																																																																															2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
1	-200.0	q	200.0				0.0	0.0	0.0	5.0																																														q	1.0	None	0.0	0.0252101421356	0.5	squarewhite.gif	stop	0.0	0.506590843201	0.00285005569458	[]	0.0	None	131.777296066	0.401422023773	0.48	0.515590906143	0.0011579990387	0.401422023773	1.0	q	134.780874968																																																								2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
2	-200.0	q	200.0				0.0	1.0	1.0	1.0																																														q	1.0	None	0.0		1.0	lineorange.gif	stop	0.95	0.514575004578	0.0013170242309600002	0.484215021133	1.0	q	137.783565044	0.484215021133																																																															2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
3	200.0	w	200.0				0.0	2.0	2.0	4.0																																														w	1.0	None	0.0		4.0	hexagoncyan.gif	stop	3.96	0.515237808228	0.0013408660888699997	0.417564868927	1.0	w	140.786947012	0.417564868927																																																															2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
4	200.0	w	200.0				0.0	3.0	3.0	0.0																																														w	1.0	None	0.0		0.5	squarewhite.gif	stop	0.57	0.515331983566	0.000877857208252	0.384552955627	1.0	w	143.791486025	0.38455295562700004																																																															2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
5	-200.0	q	200.0				0.0	4.0	4.0	9.0																																														q	1.0	None	0.0		1.0	triangleblue.gif	go	0.8	0.513736963272	0.0013241767883299998	0.351035833359	1.0	q	146.793852091	0.351035833359																																																															2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
6	200.0	w	200.0				0.0	5.0	5.0	8.0																																														w	1.0	None	0.0		4.0	hexagoncyan.gif	stop	4.25	0.515111923218	0.0009279251098630001	0.367652893066	1.0	w	149.797234058	0.36765289306599996																																																															2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
7	200.0	s	-200.0				0.0	6.0	6.0	2.0																																														s	1.0	None	0.0		2.0	crossgreen.gif	stop	2.07	0.515227794647	0.00128388404846	0.417928934097	1.0	s	152.800863981	0.417928934097																																																															2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
8	200.0	s	-200.0				0.0	7.0	7.0	6.0																																														s	1.0	None	0.0		2.0	invertedtriangleyellow.gif	go	2.05	0.514376163483	0.00133419036865	0.367724895477	1.0	s	155.803975105	0.36772489547700005																																																															2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
9	-200.0	a	-200.0				0.0	8.0	8.0	3.0																																														a	1.0	None	0.0		0.5	circlemagenta.gif	go	0.26	0.5150740146639999	0.0013170242309600002	0.450844049454	1.0	a	158.807346106	0.450844049454																																																															2015_Jun_23_1302	59.985812681599995	LearningTask	1	61	
