	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
0																																																	[]	[]	[]	[]	[]	9.0	45.527287960100004																																																																							2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
1	200.0	s	-200.0				0.0	0.0	0.0	2.0																																														s	1.0	0.6344509124759999	None	0.0	1.0	crossblue.gif	go	1.19	0.508907079697	0.0165820121765	0.6344509124759999	1.0	s	85.5009899139																																																								2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
2	-200.0	a	-200.0				0.0	1.0	1.0	7.0																																														a	1.0	0.401067972183	None	0.0	2.0	circlecyan.gif	go	0.0	0.514940977097	0.00135087966919	0.401067972183	1.0	a	88.5041348934																																																								2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
3	-200.0	a	-200.0				0.0	2.0	2.0	3.0																																														a	1.0	0.400760889053	None	0.0	1.0	crossblue.gif	go	0.0	0.515196084976	0.0009150505065920001	0.400760889053	1.0	a	91.507322073																																																								2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
4	200.0	w	200.0				0.0	3.0	3.0	0.0																																														w	1.0	0.517951965332	None	0.0	0.5	diamondwhite.gif	go	0.0	0.515114068985	0.00142002105713	0.517951965332	1.0	w	94.5109479427																																																								2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
5	200.0	w	200.0				0.0	4.0	4.0	4.0																																														w	1.0	0.46785902977	None	0.0	4.0	lineorange.gif	go	4.12	0.5151469707490001	0.00131583213806	0.46785902977	1.0	w	97.51412296299999																																																								2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
6	200.0	s	-200.0				0.0	5.0	5.0	6.0																																														s	1.0	0.484185934067	None	0.0	1.0	trianglegreen.gif	stop	1.18	0.515204191208	0.0012891292572	0.484185934067	1.0	s	100.517373085																																																								2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
7	-200.0	q	200.0				0.0	6.0	6.0	9.0																																														q	1.0	0.40086793899499995	None	0.0	2.0	invertedtriangleyellow.gif	stop	1.95	0.5151450634	0.0018420219421400002	0.40086793899499995	1.0	q	103.520752907																																																								2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
8	200.0	w	200.0				0.0	7.0	7.0	8.0																																														w	1.0	0.417367935181	None	0.0	4.0	lineorange.gif	go	3.76	0.515306949615	0.0008978843688960001	0.417367935181	1.0	w	106.524252892																																																								2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
9	-200.0	q	200.0				0.0	8.0	8.0	5.0																																														q	1.0	0.41770505905199995	None	0.0	0.5	hexagongray.gif	stop	0.31	0.515153884888	0.00130796432495	0.41770505905199995	1.0	q	109.52763509799999																																																								2015_Jun_24_1125	59.9516876449	LearningTask	1	63	
