	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 145
0																																																	[]	[]	[]	[]	[]	9.0	32.7111461163																																																																																						2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
1	-200.0	q	200.0				0.0	0.0	0.0	5.0																																														q	1.0	None	0.0	0.0910699367523	4.0	lineyellow.gif	stop	0.0	0.506857872009	0.006176948547359999	[]	0.0	None	46.8751819134	0.434407949448	3.76	0.515663146973	0.0012419223785399998	0.434407949448	1.0	q	49.8780040741																																																															2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
2	200.0	w	200.0				0.0	1.0	1.0	4.0																																														w	1.0	None	0.0		4.0	lineyellow.gif	stop	4.1	0.515017032623	0.0009298324584960001	0.333935022354	1.0	w	52.880967140200006	0.33393502235399997																																																																						2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
3	-200.0	a	-200.0				0.0	2.0	2.0	3.0																																														a	1.0	None	0.0		2.0	diamondgreen.gif	go	1.76	0.5153310298920001	0.0013179779052700001	0.400714874268	1.0	a	55.8846380711	0.40071487426799995																																																																						2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
4	-200.0	q	200.0				0.0	3.0	3.0	9.0																																														q	1.0	None	0.0		0.5	hexagonwhite.gif	go	0.67	0.514957904816	0.0013129711151099999	0.367340087891	1.0	q	58.8878390789	0.367340087891																																																																						2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
5	200.0	w	200.0				0.0	4.0	4.0	0.0																																														w	1.0	None	0.0		4.0	lineyellow.gif	stop	3.82	0.515093803406	0.0009448528289790001	0.334342002869	1.0	w	61.890981912600004	0.334342002869																																																																						2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
6	200.0	s	-200.0				0.0	5.0	5.0	6.0																																														s	1.0	None	0.0		0.5	squaremagenta.gif	stop	0.51	0.5154941082	0.00130605697632	0.417734861374	1.0	s	64.89452505109999	0.417734861374																																																																						2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
7	-200.0	q	200.0				0.0	6.0	6.0	1.0																																														q	1.0	None	0.0		1.0	invertedtrianglecyan.gif	go	1.21	0.51517701149	0.00128698348999	0.33394408226	1.0	q	67.8979890347	0.33394408226																																																																						2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
8	200.0	w	200.0				0.0	7.0	7.0	8.0																																														w	1.0	None	0.0		4.0	circleblue.gif	go	4.25	0.5149769783020001	0.0013649463653599998	0.301106929779	1.0	w	70.9012720585	0.301106929779																																																																						2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
9	-200.0	a	-200.0				0.0	8.0	8.0	7.0																																														a	1.0	None	0.0		4.0	lineyellow.gif	stop	0.0	0.515053987503	0.000904083251953	0.434345006943	1.0	a	73.9045610428	0.43434500694300004																																																																						2015_Jun_25_1032	59.7564325402	LearningTask	1	66	
