	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	feedbackResp.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	thirdComputedRewardOutput	thirdLearningStimOnset	thirdLearningFixOnset	thirdPresentationRT	thirdPresentationAcc	thirdPresentationResp	thirdEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
0																																																	[]	[]	[]	[]	[]	9.0	59.578469038																																																																															2015_Jul_07_0953	60.1413233	LearningTask	1	80	
1	200.0	s	-200.0				0.0	0.0	0.0	2.0																																														s	1.0	0.634742975235	None	0.0	4.0	diamondyellow.gif	stop	3.92	0.514573097229	0.0205430984497	0.634742975235	1.0	s	96.6077048779																																																																2015_Jul_07_0953	60.1413233	LearningTask	1	80	
2	-200.0	q	200.0				0.0	1.0	1.0	9.0																																														q	1.0	0.45121192932099996	None	0.0	1.0	squareblue.gif	stop	0.99	0.514782905579	0.042601823806800006	0.45121192932099996	1.0	q	99.61053705219999																																																																2015_Jul_07_0953	60.1413233	LearningTask	1	80	
3	-200.0	q	200.0				0.0	2.0	2.0	5.0																																														q	1.0	0.45125699043300005	None	0.0	1.0	squareblue.gif	stop	1.01	0.51513504982	0.000907897949219	0.45125699043300005	1.0	q	102.61416196799999																																																																2015_Jul_07_0953	60.1413233	LearningTask	1	80	
4	200.0	s	-200.0				0.0	3.0	3.0	6.0																																														s	1.0	0.467441082001	None	0.0	1.0	squareblue.gif	stop	1.24	0.514661073685	0.000881195068359	0.467441082001	1.0	s	105.617491961																																																																2015_Jul_07_0953	60.1413233	LearningTask	1	80	
5	200.0	w	200.0				0.0	4.0	4.0	4.0																																														w	1.0	0.468365192413	None	0.0	1.0	squareblue.gif	stop	0.92	0.515043973923	0.000885009765625	0.468365192413	1.0	w	108.621075869																																																																2015_Jul_07_0953	60.1413233	LearningTask	1	80	
6	-200.0	a	-200.0				0.0	5.0	5.0	3.0																																														a	1.0	0.45080208778399994	None	0.0	4.0	diamondyellow.gif	stop	4.19	0.514857053757	0.0009031295776369999	0.45080208778399994	1.0	a	111.6243999																																																																2015_Jul_07_0953	60.1413233	LearningTask	1	80	
7	200.0	w	200.0				0.0	6.0	6.0	0.0																																														w	1.0	0.450979948044	None	0.0	0.5	crossgreen.gif	go	0.63	0.514882087708	0.042876005172699995	0.450979948044	1.0	w	114.627644062																																																																2015_Jul_07_0953	60.1413233	LearningTask	1	80	
8	200.0	w	200.0				0.0	7.0	7.0	8.0																																														w	1.0	0.48430204391500004	None	0.0	1.0	squareblue.gif	stop	0.0	0.515021085739	0.0012109279632599999	0.48430204391500004	1.0	w	117.63138198899999																																																																2015_Jul_07_0953	60.1413233	LearningTask	1	80	
9	-200.0	a	-200.0				0.0	8.0	8.0	7.0																																														a	1.0	0.41758608818099996	None	0.0	4.0	diamondyellow.gif	stop	4.23	0.514631986618	0.0008959770202639998	0.41758608818099996	1.0	a	120.63451886200001																																																																2015_Jul_07_0953	60.1413233	LearningTask	1	80	
10	-200.0	q	200.0				0.0	9.0	9.0	1.0																																														q	1.0	0.6180400848390001	None	0.0	2.0	invertedtrianglewhite.gif	go	2.2	0.5151500701899999	0.06272315979	0.6180400848390001	1.0	q	123.637845039																																																																2015_Jul_07_0953	60.1413233	LearningTask	1	80	
11				m	0.0	200.0										0.0	0.0	0.0	1.0																																																				178.468276024	stop	diamondyellow.gif	stop	4.0	m	1.0	0.450437068939	None	0.0	0.0013611316680899998	0.513436079025	0.7638061046600001	181.46932292																																																		2015_Jul_07_0953	60.1413233	LearningTask	1	80	
12				z	0.0	-200.0										0.0	1.0	1.0	0.0																																																				181.469764948	stop	triangleorange.gif	stop	2.0	z	1.0	0.350780010223	None	0.0	0.0013599395752	0.51570892334	0.765789985657	184.472524881																																																		2015_Jul_07_0953	60.1413233	LearningTask	1	80	
13				z	0.0	-200.0										1.0	0.0	2.0	0.0																																																				184.472890854	stop	circlegray.gif	stop	0.5	None	0.0		None	0.0	0.0356168746948	0.5157988071440001	0.765986919403	187.475775957																																																		2015_Jul_07_0953	60.1413233	LearningTask	1	80	
14				m	0.0	200.0										1.0	1.0	3.0	1.0																																																				187.476285934	stop	circlegray.gif	stop	0.5	None	0.0		None	0.0	0.00102615356445	0.51555109024	0.76553606987	190.479220867																																																		2015_Jul_07_0953	60.1413233	LearningTask	1	80	
15				z	0.0	-200.0										2.0	0.0	4.0	0.0																																																				190.479588032	go	hexagonmagenta.gif	go	4.0	z	1.0	0.384149074554	None	0.0	0.00197911262512	0.515779018402		193.482719898																																																		2015_Jul_07_0953	60.1413233	LearningTask	1	80	
16				z	0.0	-200.0										2.0	1.0	5.0	0.0																																																				193.483087063	stop	circlegray.gif	stop	0.5	None	0.0		None	0.0	0.000994920730591	0.515971899033	0.766116857529	196.48609185200002																																																		2015_Jul_07_0953	60.1413233	LearningTask	1	80	
17				z	0.0	-200.0										3.0	0.0	6.0	0.0																																																				196.48650097799998	go	hexagonmagenta.gif	go	4.0	z	1.0	0.7344288825990001	None	0.0	0.000977039337158	0.515884160995		199.489235878																																																		2015_Jul_07_0953	60.1413233	LearningTask	1	80	
18				m	0.0	200.0										3.0	1.0	7.0	1.0																																																				199.489596844	stop	squareblue.gif	stop	1.0	None	0.0		None	0.0	0.0010039806366	0.5156810283659999	0.766318798065	202.492541075																																																		2015_Jul_07_0953	60.1413233	LearningTask	1	80	
19				m	0.0	200.0										4.0	0.0	8.0	1.0																																																				202.492909908	go	invertedtrianglewhite.gif	go	2.0	m	1.0	0.484319925308	None	0.0	0.0009670257568360001	0.515897035599		205.496161938																																																		2015_Jul_07_0953	60.1413233	LearningTask	1	80	
20				m	0.0	200.0										4.0	1.0	9.0	1.0																																																				205.49653005599998	stop	triangleorange.gif	stop	2.0	None	0.0		None	0.0	0.0009589195251460001	0.516202926636	0.766112804413	208.49983692200001																																																		2015_Jul_07_0953	60.1413233	LearningTask	1	80	
