	auctionStimValue	auctionCondition	chosenAuctionAmount	subcode
716	2.0	stop	0.0	study-1
717	0.5	stop	245.0	study-1
718	0.5	go	88.0	study-1
719	1.0	go	170.0	study-1
720	0.5	stop	44.0	study-1
721	2.0	go	204.0	study-1
722	4.0	go	264.0	study-1
723	1.0	go	162.0	study-1
724	1.0	stop	195.0	study-1
725	4.0	go	324.0	study-1
726	0.5	stop	34.0	study-1
727	0.5	go	49.0	study-1
728	4.0	stop	264.0	study-1
729	2.0	go	234.0	study-1
730	4.0	go	324.0	study-1
731	2.0	go	220.0	study-1
732	1.0	go	176.0	study-1
733	1.0	stop	220.0	study-1
734	2.0	go	324.0	study-1
735	4.0	go	204.0	study-1
736	4.0	stop	204.0	study-1
737	4.0	stop	294.0	study-1
738	1.0	go	196.0	study-1
739	2.0	go	245.0	study-1
740	0.5	stop	270.0	study-1
741	4.0	go	294.0	study-1
742	2.0	stop	245.0	study-1
743	2.0	stop	98.0	study-1
744	4.0	stop	204.0	study-1
745	2.0	stop	54.0	study-1
746	2.0	go	220.0	study-1
747	2.0	stop	44.0	study-1
748	1.0	go	196.0	study-1
749	0.5	go	34.0	study-1
750	0.5	go	54.0	study-1
751	4.0	stop	234.0	study-1
752	0.5	go	44.0	study-1
753	1.0	go	220.0	study-1
754	0.5	go	49.0	study-1
755	2.0	stop	39.0	study-1
756	1.0	stop	162.0	study-1
757	1.0	stop	294.0	study-1
758	2.0	go	196.0	study-1
759	4.0	go	264.0	study-1
760	2.0	go	195.0	study-1
761	4.0	go	204.0	study-1
762	2.0	stop	44.0	study-1
763	4.0	stop	264.0	study-1
764	1.0	stop	270.0	study-1
765	1.0	go	234.0	study-1
766	1.0	stop	176.0	study-1
767	4.0	go	234.0	study-1
768	1.0	go	162.0	study-1
769	4.0	stop	324.0	study-1
770	0.5	stop	49.0	study-1
771	1.0	stop	117.0	study-1
772	4.0	go	294.0	study-1
773	4.0	stop	324.0	study-1
774	0.5	stop	68.0	study-1
775	1.0	stop	136.0	study-1
776	0.5	go	39.0	study-1
777	0.5	go	34.0	study-1
778	0.5	go	39.0	study-1
779	0.5	stop	54.0	study-1
780	2.0	stop	195.0	study-1
781	0.5	stop	78.0	study-1
782	1.0	stop	196.0	study-1
783	0.5	stop	88.0	study-1
784	4.0	go	234.0	study-1
785	4.0	stop	234.0	study-1
786	2.0	go	204.0	study-1
787	1.0	go	170.0	study-1
788	0.5	go	216.0	study-1
789	2.0	stop	68.0	study-1
790	1.0	go	195.0	study-1
791	0.5	stop	39.0	study-1
792	4.0	stop	294.0	study-1
793	2.0	stop	54.0	study-1
794	1.0	stop	204.0	study-1
795	2.0	go	270.0	study-1
