	goRt_stopStim	goRt_goStim	SSRT	signalRespondRT	pSignalRespond	pCorrectGo_all	pSignalRespond_omissionCorrected	pCorrectGo_stopStim	meanSSD	omissionRate
sub-11	0.6089131567214167	0.6187187367015416	0.17437125576850926	0.5195069921777447	0.4351851851851852	1.0	0.43518518518518523	1.0	0.44726771337047216	0.0
sub-14	0.7277019995228888	0.7257107730604873	0.1751852706002459	0.6418551400650232	0.4095238095238095	1.1333333333333333	0.39814814814814814	1.1944444444444444	0.5760734500706112	0.027777777777777776
sub-15	0.7870609318768518	0.7595171983005344	0.16361266153837284	0.7128404378890794	0.3541666666666667	1.0555555555555556	0.31481481481481477	1.0277777777777777	0.6372847777824815	0.1111111111111111
sub-20	0.5394812311445712	0.5851111843966087	0.08241792803693515	0.46744880199427996	0.4761904761904762	0.9944444444444445	0.4629629629629629	0.9722222222222222	0.3850471774737315	0.027777777777777776
sub-38	0.8192567569869642	0.8057734511115637	0.23398129430966674	0.7753999006180405	0.411764705882353	1.1555555555555554	0.38888888888888884	1.1111111111111112	0.6437500008833333	0.05555555555555555
sub-39	0.538974967267889	0.5266000284275634	0.2703204000434537	0.4508281491019636	0.5092592592592593	1.011111111111111	0.5092592592592593	1.0	0.26094107936929634	0.0
sub-51	0.6075156463517222	0.6151217873214965	0.1435052642113981	0.5350658098856459	0.4444444444444444	0.9944444444444445	0.4444444444444444	1.0	0.45003127168726853	0.0
sub-52	0.6272781644549144	0.6103429430060555	0.21194035508701264	0.5091465173982941	0.4857142857142857	0.9944444444444445	0.4722222222222222	0.9722222222222222	0.3976584518394444	0.027777777777777776
sub-54	0.5111167298422777	0.4465834647417014	0.23643083042526852	0.44224425598427775	0.5	1.0	0.5	1.0	0.20621913009223147	0.0
sub-55	0.6117927961878331	0.5987617621819374	0.19692963361700927	0.54497305870054	0.46296296296296297	1.0	0.4629629629629629	1.0	0.40367582771534255	0.0
sub-56	0.7102247946189395	0.6971093000787576	0.1702895020052737	0.6233631173769166	0.45714285714285713	1.038888888888889	0.4444444444444444	1.0277777777777777	0.5399583688485834	0.027777777777777776
sub-57	0.5595112868718001	0.5462508201598651	0.10590698012658561	0.497843454468868	0.5047619047619047	1.0	0.4907407407407407	0.9722222222222222	0.41162454198883336	0.027777777777777776
sub-61	0.8453187261309285	0.8428063028949576	0.21784682016758627	0.751628154516275	0.39215686274509803	1.1333333333333333	0.37037037037037035	1.1111111111111112	0.6320321361222961	0.05555555555555555
sub-62	0.7532531917095624	0.6398300844080368	0.18413675463189771	0.7261466105780335	0.3448275862068966	1.0555555555555556	0.2777777777777778	1.1666666666666667	0.6224515416004814	0.19444444444444445
sub-63	0.6201331814129444	0.5707747538884167	0.13962083392635188	0.5421989888560816	0.4537037037037037	1.0	0.4537037037037037	1.0	0.49499247029969445	0.0
sub-64	0.5158452855216389	0.48948739625359444	0.26996006568232406	0.42303930010112245	0.4537037037037037	0.9944444444444445	0.4537037037037037	1.0	0.22697916075039815	0.0
sub-65	0.6557530706579998	0.5333840446872238	0.1612000319238177	0.534822141801973	0.4252873563218391	1.0055555555555555	0.34259259259259256	1.0	0.5380371146731018	0.19444444444444445
sub-66	0.5986155033112	0.643345138004857	0.1681569359287577	0.538440816807283	0.5047619047619047	0.9833333333333333	0.4907407407407407	0.9722222222222222	0.4328737612125185	0.027777777777777776
sub-67	0.5848839150534999	0.5533303088612639	0.19274289519669457	0.51966732025144	0.46296296296296297	1.0	0.4629629629629629	1.0	0.40831619721884255	0.0
sub-68	0.5536972681681388	0.5367522024446042	0.19156451136999064	0.45730914060882694	0.48148148148148145	1.0	0.4814814814814815	1.0	0.3373960786395649	0.0
sub-72	0.5859983967196452	0.4861274840126691	0.1825711109021919	0.4735603481531041	0.45714285714285713	1.0055555555555555	0.4444444444444444	1.0833333333333333	0.43705588799937956	0.027777777777777776
sub-74	0.5774935764425294	0.5734860897064578	0.25485658424903707	0.4706216918097962	0.5	1.011111111111111	0.5	1.0555555555555556	0.371246459307463	0.0
sub-75	0.6000628962236471	0.503064496442664	0.25567438205083143	0.4517273775168714	0.5333333333333333	0.9888888888888889	0.5185185185185186	1.0	0.2641701499621018	0.027777777777777776
sub-76	0.5725226197923429	0.5745445909634507	0.13415161547802784	0.48322176933287236	0.4351851851851852	1.0055555555555555	0.43518518518518523	1.0277777777777777	0.42129870697314814	0.0
sub-77	0.4991290370623001	0.48128433525562503	0.2027620099206297	0.5245485999366728	0.5092592592592593	1.0	0.5092592592592593	1.0	0.27851138512290735	0.0
sub-78	0.6776497293919411	0.6640675385793037	0.1499355129463512	0.5753696560859166	0.45714285714285713	1.0166666666666666	0.4444444444444444	1.0	0.526996038577963	0.027777777777777776
sub-79	0.5812066992124723	0.5957160476181181	0.12813426388618515	0.5623213369019592	0.4537037037037037	1.0	0.4537037037037037	1.0	0.4398501184253056	0.0
sub-80	0.6702895234612941	0.6340433824807266	0.2303824005298426	0.5735417093549796	0.4537037037037037	0.9333333333333333	0.4537037037037037	1.0	0.46674197470732404	0.0
sub-81	0.5843662311290688	0.5716856620350739	0.2219740679892379	0.4697341821632041	0.5632183908045977	0.85	0.4537037037037037	0.8055555555555556	0.4254569411278426	0.19444444444444445
sub-82	0.6303375297123333	0.6166746480124355	0.1638317748355464	0.524977718790375	0.4444444444444444	1.0	0.4444444444444444	1.0	0.4462855281652314	0.0
sub-83	0.7066233235020968	0.6845186948775878	0.14167743069818595	0.588644253901923	0.37142857142857144	1.0944444444444446	0.36111111111111116	1.0833333333333333	0.5640434026718426	0.027777777777777776
