SubjectNumber	AuctionValues	IncludedOrExcluded	Phase1ExplicitLearning
32	0.640625	Excluded	Explicit
49	0.451957295	Excluded	Explicit
87	0.589211618	Excluded	Explicit
90	0.523131673	Excluded	Explicit
88	0.465408805	Included	Explicit
91	0.62541806	Excluded	Implicit
92	0.478386167	Excluded	Implicit
93	0.480263158	Included	Explicit
94	0.482972136	Included	Explicit
95	0.591973244	Excluded	Implicit
96	0.539622642	Excluded	Explicit
53	0.482876712	Included	Implicit
97	0.582142857	Excluded	Implicit
98	0.347826087	Excluded	Explicit
99	0.48015873	Included	Explicit
84	0.552173913	Included	Explicit
100	0.236933798	Excluded	Implicit
101	0.489959839	Included	Explicit
102	0.529680365	Excluded	Explicit 
103	0.468503937	Excluded	Implicit
104	0.416058394	Included	Implicit 
105	0.523961661	Excluded	Implicit
106	0.371165644	Excluded	Explicit
107	0.498349835	Included	Implicit
108	0.496932515	Excluded	Explicit
109	0.520547945	Included	Explicit
110	0.565517241	Excluded	Explicit
111	0.422131148	Included	Implicit
112	0.666666667	Excluded	Explicit
113	0.561538462	Included	Explicit
			
