xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,feedbackResp.keys,feedbackResp.corr,feedbackResp.rt,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,resp.rt,secondPracComputedRewardOutput,secondPracLearningStimOnset,secondPracLearningFixOnset,secondPracPresentationRT,secondPracPresentationAcc,secondPracPresentationResp,secondPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,key_resp_7.keys,key_resp_7.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],9,101.56744194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
-200,a,-200,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,None,0,0.0578429698944,2.0,invertedtriangleyellow.gif,go,0,0.507192850113,0.0210268497467,[],0,None,122.077363014,0.567468881607,1.86,0.515612840652,0.00118184089661,0.567468881607,1,a,125.080601931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
200,w,200,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,None,0,,2.0,invertedtriangleyellow.gif,go,2.15,0.514720916748,0.000894069671631,0.551057100296,1,w,128.083502054,0.551057100296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
200,w,200,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,None,0,,0.5,hexagongreen.gif,go,0.35,0.515287876129,0.00130987167358,0.534335136414,1,w,131.087188005,0.534335136414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
200,w,200,,,,0,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,None,0,,4.0,diamondmagenta.gif,go,0,0.51460814476,0.00138115882874,0.367506980896,1,w,134.090370893,0.367506980896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
-200,q,200,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,None,0,,1.0,triangleorange.gif,stop,0.82,0.515158891678,0.00130796432495,0.467772006989,1,q,137.094008923,0.467772006989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
200,s,-200,,,,0,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,None,0,,2.0,invertedtriangleyellow.gif,go,2.09,0.514762163162,0.00127911567688,0.434714078903,1,s,140.096966982,0.434714078903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
-200,q,200,,,,0,6,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,None,0,,0.5,hexagongreen.gif,go,0.27,0.515064001083,0.00091290473938,0.43413901329,1,q,143.100445986,0.43413901329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
-200,a,-200,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,None,0,,4.0,crossblue.gif,stop,0,0.515038013458,0.00130200386047,0.434314012527,1,a,146.103632927,0.434314012527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
200,s,-200,,,,0,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,None,0,,4.0,diamondmagenta.gif,go,4.05,0.51496219635,0.00100803375244,0.501384973526,1,s,149.107258081,0.501384973526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
-200,q,200,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,None,0,,2.0,invertedtriangleyellow.gif,go,0,0.51487493515,0.000922918319702,0.534327983856,1,q,152.110266924,0.534327983856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
,,,m,0,200,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.619739056,stop,crossblue.gif,stop,4.0,m,1,0.517910957336,None,0,0.00133800506592,0.504032850266,0.754240989685,197.61166501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
,,,z,0,-200,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.612067938,stop,crossblue.gif,stop,4.0,None,0,,None,0,0.000960826873779,0.515472888947,0.765920877457,200.614793062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
,,,z,0,-200,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.61518693,stop,circlewhite.gif,stop,2.0,None,0,,None,0,0.00146389007568,0.515752077103,0.766058921814,203.618244886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
,,,m,0,200,,,,,,,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.618618965,stop,crossblue.gif,stop,4.0,m,1,0.467771053314,None,0,0.000958919525146,0.515800952911,0.766058921814,206.621788025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
,,,m,0,200,,,,,,,,,,2,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.622158051,go,diamondmagenta.gif,go,4.0,m,1,0.484467029572,None,0,0.000972986221313,0.515523910522,,209.624841928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
,,,m,0,200,,,,,,,,,,2,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.625217915,stop,triangleorange.gif,stop,1.0,None,0,,None,0,0.00102281570435,0.515968799591,0.766179800034,212.628190041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
,,,z,0,-200,,,,,,,,,,3,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.62857008,go,invertedtriangleyellow.gif,go,2.0,z,1,0.634902000427,None,0,0.00100684165955,0.515848875046,,215.631691933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
,,,z,0,-200,,,,,,,,,,3,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.632154942,go,invertedtriangleyellow.gif,go,2.0,z,1,0.634274959564,None,0,0.000998020172119,0.515580892563,,218.634950876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
,,,m,0,200,,,,,,,,,,4,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.635328054,stop,linecyan.gif,stop,0.5,None,0,,None,0,0.00132584571838,0.515921831131,0.765907049179,221.638581991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
,,,z,0,-200,,,,,,,,,,4,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.638953924,stop,triangleorange.gif,stop,1.0,z,1,0.450302839279,None,0,0.00137186050415,0.515775918961,0.766183853149,224.641929865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,62.963299036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3.03667807579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,None,0,,1.0,squaregray.gif,go,,,,,,,,0.618134021759,,,,,,,,,,,,,,,,,,,,,,,,0,0.508081912994,0.00133085250854,0.618134021759,1,s,293.787405014,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,None,0,,0.5,linecyan.gif,stop,,,,,,,,0.51767206192,,,,,,,,,,,,,,,,,,,,,,,,0,0.514042139053,0.000901222229004,0.51767206192,1,w,296.790364981,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,None,0,,2.0,circlewhite.gif,stop,,,,,,,,0.433772087097,,,,,,,,,,,,,,,,,,,,,,,,0,0.514477014542,0.000916957855225,0.433772087097,1,w,299.793761969,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,None,0,,0.5,hexagongreen.gif,go,,,,,,,,0.484337091446,,,,,,,,,,,,,,,,,,,,,,,,0.46,0.514111995697,0.000907897949219,0.484337091446,1,q,302.797137976,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,1,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,None,0,,1.0,triangleorange.gif,stop,,,,,,,,0.434278011322,,,,,,,,,,,,,,,,,,,,,,,,0,0.513828039169,0.00108194351196,0.434278011322,1,w,305.800670862,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,None,0,,4.0,crossblue.gif,stop,,,,,,,,0.434487104416,,,,,,,,,,,,,,,,,,,,,,,,3.79,0.513815164566,0.000915050506592,0.434487104416,1,s,308.803885937,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,1,2,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,None,0,,1.0,triangleorange.gif,stop,,,,,,,,0.534539937973,,,,,,,,,,,,,,,,,,,,,,,,1.17,0.514227867126,0.000930070877075,0.534539937973,1,w,311.806962967,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
-200,a,-200,,,,,,,,,,,,,,,,,0,0,0,0,1,3,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,None,0,,0.5,linecyan.gif,stop,,,,,,,,0.48436498642,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.51429605484,0.000970125198364,0.48436498642,1,a,314.810956955,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,2,0,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,None,0,,4.0,diamondmagenta.gif,go,,,,,,,,0.467537879944,,,,,,,,,,,,,,,,,,,,,,,,3.86,0.513837099075,0.00101804733276,0.467537879944,1,s,317.813838005,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
200,w,200,,,,,,,,,,,,,,,,,0,0,0,0,2,1,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,None,0,,2.0,invertedtriangleyellow.gif,go,,,,,,,,0.467617988586,,,,,,,,,,,,,,,,,,,,,,,,1.78,0.51442193985,0.00089693069458,0.467617988586,1,w,320.817178965,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,2,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,None,0,,1.0,triangleorange.gif,stop,,,,,,,,0.467600107193,,,,,,,,,,,,,,,,,,,,,,,,0.95,0.51429104805,0.000976085662842,0.467600107193,1,q,323.820714951,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
-200,q,200,,,,,,,,,,,,,,,,,0,0,0,0,2,3,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,None,0,,2.0,invertedtriangleyellow.gif,go,,,,,,,,0.584197998047,,,,,,,,,,,,,,,,,,,,,,,,1.8,0.514061927795,0.000914812088013,0.584197998047,1,q,326.824019909,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
200,s,-200,,,,,,,,,,,,,,,,,0,0,0,0,3,0,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,None,0,,0.5,linecyan.gif,stop,,,,,,,,0.467783212662,,,,,,,,,,,,,,,,,,,,,,,,0.51,0.514379024506,0.00108504295349,0.467783212662,1,s,329.827610016,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jun_23_1140,59.9610295852,LearningTask,1,15,
