xPos,corrAns,yPos,corrGoResp,yPosGoStim,xPosGoStim,pracTrials.thisRepN,pracTrials.thisTrialN,pracTrials.thisN,pracTrials.thisIndex,ReDoLoopPrac.thisRepN,ReDoLoopPrac.thisTrialN,ReDoLoopPrac.thisN,ReDoLoopPrac.thisIndex,ReDoLoopPrac.thisTrial,pracStopTrials.thisRepN,pracStopTrials.thisTrialN,pracStopTrials.thisN,pracStopTrials.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ReDoLoopMain.thisRepN,ReDoLoopMain.thisTrialN,ReDoLoopMain.thisN,ReDoLoopMain.thisIndex,ReDoLoopMain.thisTrial,StopBlocks.thisRepN,StopBlocks.thisTrialN,StopBlocks.thisN,StopBlocks.thisIndex,StopTrials.thisRepN,StopTrials.thisTrialN,StopTrials.thisN,StopTrials.thisIndex,auctionBlocks.thisRepN,auctionBlocks.thisTrialN,auctionBlocks.thisN,auctionBlocks.thisIndex,auctionTrials.thisRepN,auctionTrials.thisTrialN,auctionTrials.thisN,auctionTrials.thisIndex,learningTrialList,learningPracTrialList,stopTrialList,stopPracTrialList,auctionTrialList,ok1.keys,ok1.rt,resp.keys,resp.corr,resp.rt,feedbackResp.keys,feedbackResp.corr,currentReward,currentStimulus,currentStimType,firstPracComputedRewardOutput,firstPracLearningStimOnset,firstPracLearningFixOnset,firstPracPresentationRT,firstPracPresentationAcc,firstPracPresentationResp,firstPracEndTrialTimeStamp,StartTrialTimeStamp,trialType,goStim,stimType,stopStimValue,goResp.keys,goResp.corr,goResp.rt,key_resp_9.keys,key_resp_9.corr,fixStopOnset,goStimOnset,stopSignalOnset,EndTrialTimeStamp,key_resp_3.keys,key_resp_3.rt,firstComputedRewardOutput,firstLearningStimOnset,firstLearningFixOnset,firstPresentationRT,firstPresentationAcc,firstPresentationResp,firstEndTrialTimeStamp,secondComputedRewardOutput,secondLearningStimOnset,secondLearningFixOnset,secondPresentationRT,secondPresentationAcc,secondPresentationResp,secondEndTrialTimeStamp,feedbackResp.rt,key_resp_7.keys,key_resp_7.rt,beginningSSD,EndingSSD,key_resp_9.rt,key_resp_4.keys,key_resp_4.rt,auctionResponse.keys,auctionResponse.rt,auctionStimDuration,auctionStim,auctionAmounts,auctionStimValue,auctionCondition,chosenAuctionAmount,key_resp_5.keys,key_resp_5.rt,shuffledRewardList,chosenReward1,chosenReward2,chosenReward3,chosenReward4,chosenReward5,key_resp_6.keys,key_resp_6.rt,date,frameRate,expName,session,participant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],9,39.0962469578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,a,-200,,,,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.618109941483,None,0,4.0,diamondgreen.gif,stop,4.01,0.500530958176,0.0280690193176,0.618109941483,1,a,109.138362169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,w,200,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.384361982346,None,0,4.0,diamondgreen.gif,stop,4.17,0.51438498497,0.00110816955566,0.384361982346,1,w,112.141339064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,a,-200,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.434506893158,None,0,4.0,diamondgreen.gif,stop,0,0.514672040939,0.00103187561035,0.434506893158,1,a,115.14428401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,q,200,,,,0,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.467535972595,None,0,4.0,invertedtrianglemagenta.gif,go,0,0.515161991119,0.01038813591,0.467535972595,1,q,118.147844076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,s,-200,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.40106511116,None,0,4.0,invertedtrianglemagenta.gif,go,3.82,0.514876842499,0.000901937484741,0.40106511116,1,s,121.15133214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,w,200,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.417562007904,None,0,0.5,trianglegray.gif,go,0.42,0.514947891235,0.0151908397675,0.417562007904,1,w,124.154484034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
-200,q,200,,,,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,q,1,0.417933940887,None,0,0.5,lineblue.gif,stop,0.37,0.515386104584,0.0301930904388,0.417933940887,1,q,127.157645226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,w,200,,,,0,7,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w,1,0.434087991714,None,0,1.0,squarecyan.gif,stop,0.86,0.515331029892,0.0203528404236,0.434087991714,1,w,130.161155224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
200,s,-200,,,,0,8,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,1,0.450841188431,None,0,0.5,trianglegray.gif,go,0.61,0.515216827393,0.000914812088013,0.450841188431,1,s,133.164797068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015_Jul_07_1048,59.9269327321,LearningTask,1,81,
