	LU	Nr	age	betting	buttons	commands	duration	gender	hand	layout	learning	p1	p2	p3	phase	reward	screen	stopping	symbols	training	which_info
count		105	20					m	r						3						data
RT												{'symbols': {'s6': 332.184302886817, 's8': 309.24590973627346, 's5': 308.44222524698125, 's3': 322.6944026342244, 's2': 324.29320778130204, 's7': 311.0042443932616, 's1': 317.7091837876651, 's4': 317.56287755641097}, 'all': 317.892044252867, 'blocks': {'b4': 339.42619964978803, 'b2': 312.3379196854512, 'b1': 298.56076419662713, 'b3': 321.24329347960156}}	{'cor': 585.3009050159421, 'symbols': {'s6': 608.2261063392151, 's8': 404.67065282913, 's5': 591.6462188563147, 's3': 598.2589057223068, 's2': 570.9041100785221, 's7': 601.03758851983, 's1': 614.9485143384178, 's4': 590.9978533043412}, 'failstop': 507.7686304551753, 'err': nan}								output
errmissrate												2.75									output
numbers													{'stop': {'succ': 58, 'fail': 50, 'all': 108}, 'all': 288, 'go': {'miss': 0, 'cor': 180, 'all': 180, 'err': 0}}								output
rates													{'miss': 0, 'stop': 37.5, 'err': 0, 'stopsucc': {'symbols': {'s6': 55.55555555555556, 's8': 48.148148148148145, 's5': 66.66666666666667, 's3': nan, 's2': nan, 's7': 44.44444444444444, 's1': nan, 's4': nan}, 'all': 53.7037037037037}}								output
s1														{'amount': 156.5, 'level': 3.5, 'RT': 1.9635529824572586, 'varlevel': 2.2777777777777777, 'stop': 0}							output
s2														{'amount': 219.1, 'level': 4.9, 'RT': 2.293647064157267, 'varlevel': 2.1, 'stop': 0}							output
s3														{'amount': 171.1, 'level': 3.9, 'RT': 1.736974741368249, 'varlevel': 2.1, 'stop': 0}							output
s4														{'amount': 177.9, 'level': 4.1, 'RT': 1.9811879226574092, 'varlevel': 1.211111111111111, 'stop': 0}							output
s5														{'amount': 166.3, 'level': 3.7, 'RT': 2.0253852446021483, 'varlevel': 2.2333333333333334, 'stop': 1}							output
s6														{'amount': 130.5, 'level': 3, 'RT': 1.6874786267253512, 'varlevel': 2.6666666666666665, 'stop': 1}							output
s7														{'amount': 166.7, 'level': 3.8, 'RT': 2.1832866435917824, 'varlevel': 1.9555555555555557, 'stop': 1}							output
s8														{'amount': 196.1, 'level': 4.4, 'RT': 1.938796530637046, 'varlevel': 0.9333333333333331, 'stop': 1}							output
ssrt													{'mSSD': 468.75, 'SSRT': 116.55090501594213}								output
valuenostop														4.1							output
valuestop														3.725							output
SSD	25.6														3			250		0.0	settings
SSDincrement	25.6														3			50		0.0	settings
betdelay	25.6						1.5								3					0.0	settings
betfix	25.6					DrawFormattedText(10,'+','center','center',[150  150  150]);									3					0.0	settings
bets	25.6				[ 7  9 10 11 13 14]										3					0.0	settings
betstim	25.6						5.0								3					0.0	settings
bettrial	25.6						6.0								3					0.0	settings
blocks	25.6			4							4				3			8		0.0	settings
colors	25.6									"[[   0.   255.     0. ]
 [   0.     0.   255. ]
 [   0.   255.   255. ]
 [ 255.     0.   255. ]
 [ 255.   255.     0. ]
 [ 255.   127.5    0. ]
 [ 255.   255.   255. ]
 [ 127.5  127.5  127.5]]"					3				[5 7 6 4 3 8 2 1]	0.0	settings
distribution	25.6										uniform				3					0.0	settings
fix	25.6					Screen('DrawLine',10,[150  150  150],320,540,1600,540,2);Screen('DrawLine',10,[150  150  150],960,180,960,900,2);	0.5								3					0.0	settings
fixcolor	25.6									[150 150 150]					3					0.0	settings
introsize	25.6									40					3					0.0	settings
layout	25.6														3				[5 6 1 2 4 8 7 3]	0.0	settings
learning	25.6														3	562.0				0.0	settings
learnstim	25.6						1.0								3					0.0	settings
learntrial	25.6						3.0								3					0.0	settings
left	25.6				6										3					0.0	settings
levels	25.6			5											3					0.0	settings
magnitudes	25.6										[ 50 100 200 400]				3					0.0	settings
ne	25.6				54										3					0.0	settings
nw	25.6				27										3					0.0	settings
ow	25.6														3		10			0.0	settings
owd	25.6														3		[   0    0 1920 1080]			0.0	settings
parameter	25.6										25				3					0.0	settings
pointsize	25.6									80					3					0.0	settings
prob	25.6														3			[ 0.    0.75]		0.0	settings
redcolor	25.6									[255   0   0]					3					0.0	settings
reward	25.6						1.0								3					0.0	settings
right	25.6				16										3					0.0	settings
scalingfactor	25.6			5											3					0.0	settings
se	25.6				231										3					0.0	settings
start	25.6			30											3					0.0	settings
stepsize	25.6			6											3					0.0	settings
stop	25.6					PsychPortAudio('Start', 0, 1, 0, 1);									3					0.0	settings
stopfix	25.6					Screen('DrawLine',10,[150  150  150],960,180,960,900,2);									3					0.0	settings
stopstim	25.6						1.5								3					0.0	settings
stoptrial	25.6						3.0								3					0.0	settings
sw	25.6				227										3					0.0	settings
trials	25.6			10							40				3			36		0.0	settings
type	25.6			6keys											3					0.0	settings
zerotrials	25.6										10				3					0.0	settings
