	LU	Nr	age	betting	buttons	commands	duration	gender	hand	layout	learning	p1	p2	p3	phase	reward	screen	stopping	symbols	training	which_info
count		113	20					f	r						3						data
RT												{'symbols': {'s6': 412.0714489510283, 's8': 412.05403806176037, 's5': 420.8227566163987, 's3': 419.66849131044, 's2': 411.885395613499, 's7': 411.46357282530516, 's1': 409.9124067602679, 's4': 402.1719725430012}, 'all': 412.5062603352126, 'blocks': {'b4': 441.4377628569491, 'b2': 419.7038327367045, 'b1': 383.1924482132308, 'b3': 405.69099753396586}}	{'cor': 605.2878478723061, 'symbols': {'s6': 560.396585199568, 's8': 692.527751205489, 's5': 596.2793361395597, 's3': 613.0396382197633, 's2': 624.3434575800267, 's7': 634.9539337421043, 's1': 567.0469070771813, 's4': 600.9698349128788}, 'failstop': 478.4734538875009, 'err': nan}								output
errmissrate												2.5									output
numbers													{'stop': {'succ': 57, 'fail': 51, 'all': 108}, 'all': 288, 'go': {'miss': 0, 'cor': 180, 'all': 180, 'err': 0}}								output
rates													{'miss': 0, 'stop': 37.5, 'err': 0, 'stopsucc': {'symbols': {'s6': 44.44444444444444, 's8': 66.66666666666667, 's5': 37.03703703703704, 's3': nan, 's2': nan, 's7': 62.96296296296296, 's1': nan, 's4': nan}, 'all': 52.77777777777778}}								output
s1														{'amount': 133.4, 'level': 3.1, 'RT': 2.3157475096872076, 'varlevel': 3.4333333333333336, 'stop': 0}							output
s2														{'amount': 132.8, 'level': 3.2, 'RT': 1.7868663865607233, 'varlevel': 3.0666666666666673, 'stop': 0}							output
s3														{'amount': 120.8, 'level': 2.7, 'RT': 1.987492380803451, 'varlevel': 1.3444444444444443, 'stop': 0}							output
s4														{'amount': 244.4, 'level': 5.6, 'RT': 2.1121962408535184, 'varlevel': 1.5999999999999999, 'stop': 0}							output
s5														{'amount': 85.6, 'level': 1.9, 'RT': 1.8971022378886118, 'varlevel': 2.5444444444444443, 'stop': 1}							output
s6														{'amount': 84.6, 'level': 1.9, 'RT': 2.0666649830760435, 'varlevel': 0.9888888888888889, 'stop': 1}							output
s7														{'amount': 99.2, 'level': 2.3, 'RT': 1.9230923062190413, 'varlevel': 0.4555555555555555, 'stop': 1}							output
s8														{'amount': 231.7, 'level': 5.3, 'RT': 2.157021196442656, 'varlevel': 1.5666666666666667, 'stop': 1}							output
ssrt													{'mSSD': 424.30555555555554, 'SSRT': 180.98229231675055}								output
valuenostop														3.65							output
valuestop														2.85							output
SSD	25.6														3			250		0.0	settings
SSDincrement	25.6														3			50		0.0	settings
betdelay	25.6						1.5								3					0.0	settings
betfix	25.6					DrawFormattedText(10,'+','center','center',[150  150  150]);									3					0.0	settings
bets	25.6				[ 7  9 10 11 13 14]										3					0.0	settings
betstim	25.6						5.0								3					0.0	settings
bettrial	25.6						6.0								3					0.0	settings
blocks	25.6			4							4				3			8		0.0	settings
colors	25.6									"[[   0.   255.     0. ]
 [   0.     0.   255. ]
 [   0.   255.   255. ]
 [ 255.     0.   255. ]
 [ 255.   255.     0. ]
 [ 255.   127.5    0. ]
 [ 255.   255.   255. ]
 [ 127.5  127.5  127.5]]"					3				[1 2 4 7 6 8 3 5]	0.0	settings
distribution	25.6										uniform				3					0.0	settings
fix	25.6					Screen('DrawLine',10,[150  150  150],320,540,1600,540,2);Screen('DrawLine',10,[150  150  150],960,180,960,900,2);	0.5								3					0.0	settings
fixcolor	25.6									[150 150 150]					3					0.0	settings
introsize	25.6									40					3					0.0	settings
layout	25.6														3				[1 4 8 5 3 6 7 2]	0.0	settings
learning	25.6														3	433.0				0.0	settings
learnstim	25.6						1.0								3					0.0	settings
learntrial	25.6						3.0								3					0.0	settings
left	25.6				6										3					0.0	settings
levels	25.6			5											3					0.0	settings
magnitudes	25.6										[ 50 100 200 400]				3					0.0	settings
ne	25.6				54										3					0.0	settings
nw	25.6				27										3					0.0	settings
ow	25.6														3		10			0.0	settings
owd	25.6														3		[   0    0 1920 1080]			0.0	settings
parameter	25.6										25				3					0.0	settings
pointsize	25.6									80					3					0.0	settings
prob	25.6														3			[ 0.    0.75]		0.0	settings
redcolor	25.6									[255   0   0]					3					0.0	settings
reward	25.6						1.0								3					0.0	settings
right	25.6				16										3					0.0	settings
scalingfactor	25.6			5											3					0.0	settings
se	25.6				231										3					0.0	settings
start	25.6			30											3					0.0	settings
stepsize	25.6			6											3					0.0	settings
stop	25.6					PsychPortAudio('Start', 0, 1, 0, 1);									3					0.0	settings
stopfix	25.6					Screen('DrawLine',10,[150  150  150],960,180,960,900,2);									3					0.0	settings
stopstim	25.6						1.5								3					0.0	settings
stoptrial	25.6						3.0								3					0.0	settings
sw	25.6				227										3					0.0	settings
trials	25.6			10							40				3			36		0.0	settings
type	25.6			6keys											3					0.0	settings
zerotrials	25.6										10				3					0.0	settings
