	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	feedbackResp.keys	feedbackResp.corr	feedbackResp.rt	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	resp.rt	secondPracComputedRewardOutput	secondPracLearningStimOnset	secondPracLearningFixOnset	secondPracPresentationRT	secondPracPresentationAcc	secondPracPresentationResp	secondPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	goResp.rt	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	beginningSSD	EndingSSD	key_resp_9.rt	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	auctionResponse.rt	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 138
0																																																	[]	[]	[]	[]	[]	9.0	71.8425750732																																																																															2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
1	-200.0	a	-200.0				0.0	0.0	0.0	3.0																																														a	1.0	None	0.0	0.057906866073599995	4.0	invertedtriangleyellow.gif	go	0.0	0.514727115631	0.00980710983276	[]	0.0	None	100.961067915	0.48440909385700004	0.0	0.515201091766	0.0012121200561500001	0.48440909385700004	1.0	a	103.964047909																																																								2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
2	-200.0	q	200.0				0.0	1.0	1.0	9.0																																														q	1.0	None	0.0		2.0	circlecyan.gif	stop	1.75	0.514708042145	0.0390830039978	0.46755695343	1.0	q	106.96707797100001	0.46755695343000003																																																															2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
3	200.0	w	200.0				0.0	2.0	2.0	8.0																																														w	1.0	None	0.0		1.0	squarewhite.gif	stop	1.11	0.5151929855349999	0.0017268657684300001	0.484324932098	1.0	w	109.970449924	0.484324932098																																																															2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
4	200.0	w	200.0				0.0	3.0	3.0	4.0																																														w	1.0	None	0.0		0.5	diamondorange.gif	go	0.53	0.514846086502	0.0016181468963599999	0.53427696228	1.0	w	112.973882914	0.53427696228																																																															2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
5	-200.0	q	200.0				0.0	4.0	4.0	1.0																																														q	1.0	None	0.0		1.0	squarewhite.gif	stop	0.83	0.515100955963	0.0009069442749019998	0.417845010757	1.0	q	115.97732687	0.417845010757																																																															2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
6	200.0	s	-200.0				0.0	5.0	5.0	6.0																																														s	1.0	None	0.0		0.5	crossblue.gif	stop	0.0	0.515050172806	0.00189518928528	0.417483091354	1.0	s	118.980637789	0.41748309135399997																																																															2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
7	200.0	w	200.0				0.0	6.0	6.0	0.0																																														w	1.0	None	0.0		2.0	linemagenta.gif	go	0.0	0.514891862869	0.00153398513794	0.567754030228	1.0	w	121.98389792399999	0.567754030228																																																															2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
8	200.0	s	-200.0				0.0	7.0	7.0	2.0																																														s	1.0	None	0.0		4.0	hexagongray.gif	stop	4.13	0.515134096146	0.000922918319702	0.467890977859	1.0	s	124.987131834	0.46789097785899997																																																															2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
9	-200.0	a	-200.0				0.0	8.0	8.0	7.0																																														a	1.0	None	0.0		1.0	squarewhite.gif	stop	1.05	0.515325069427	0.000946044921875	0.383913993835	1.0	a	127.990624905	0.383913993835																																																															2015_Jun_30_1148	60.1767869876	LearningTask	1	54	
