	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	EndTrialTimeStamp	stopSignalOnset	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	beginningSSD	key_resp_9.rt	EndingSSD	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 131
0																																																	[]	[]	[]	[]	[]	9.0	105.910511017																																																																								2015_Jun_24_1402	59.94123498	LearningTask	1	65	
1	-200.0	q	200.0				0.0	0.0	0.0	5.0																																														q	1.0	0.818625926971	None	0.0	1.0	squarewhite.gif	stop	0.0	0.507196187973	0.00302219390869	0.818625926971	1.0	q	128.66143202799998																																																									2015_Jun_24_1402	59.94123498	LearningTask	1	65	
2	-200.0	q	200.0				0.0	1.0	1.0	1.0																																														q	1.0	0.41765403747599994	None	0.0	2.0	circlegreen.gif	go	1.8	0.514559984207	0.00131011009216	0.41765403747599994	1.0	q	131.664124012																																																									2015_Jun_24_1402	59.94123498	LearningTask	1	65	
3	200.0	w	200.0				0.0	2.0	2.0	4.0																																														w	1.0	0.36738491058300005	None	0.0	1.0	squarewhite.gif	stop	1.01	0.515290975571	0.000908851623535	0.36738491058300005	1.0	w	134.667483091																																																									2015_Jun_24_1402	59.94123498	LearningTask	1	65	
4	-200.0	a	-200.0				0.0	3.0	3.0	7.0																																														a	1.0	0.334315061569	None	0.0	2.0	invertedtrianglecyan.gif	stop	1.78	0.514937162399	0.0017290115356400002	0.334315061569	1.0	a	137.670888186																																																									2015_Jun_24_1402	59.94123498	LearningTask	1	65	
5	200.0	s	-200.0				0.0	4.0	4.0	6.0																																														s	1.0	0.334557056427	None	0.0	1.0	squarewhite.gif	stop	0.9	0.5150661468509999	0.000913143157959	0.334557056427	1.0	s	140.674195051																																																									2015_Jun_24_1402	59.94123498	LearningTask	1	65	
6	200.0	w	200.0				0.0	5.0	5.0	8.0																																														w	1.0	0.38402891159100006	None	0.0	2.0	invertedtrianglecyan.gif	stop	2.24	0.515122890472	0.0009169578552250001	0.38402891159100006	1.0	w	143.677812099																																																									2015_Jun_24_1402	59.94123498	LearningTask	1	65	
7	200.0	s	-200.0				0.0	6.0	6.0	2.0																																														s	1.0	0.417685031891	None	0.0	0.5	crossyellow.gif	go	0.38	0.514745950699	0.0013699531555199998	0.417685031891	1.0	s	146.681007147																																																									2015_Jun_24_1402	59.94123498	LearningTask	1	65	
8	200.0	w	200.0				0.0	7.0	7.0	0.0																																														w	1.0	0.367403030396	None	0.0	2.0	circlegreen.gif	go	0.0	0.515029907227	0.000921964645386	0.367403030396	1.0	w	149.684396029																																																									2015_Jun_24_1402	59.94123498	LearningTask	1	65	
9	-200.0	q	200.0				0.0	8.0	8.0	9.0																																														q	1.0	0.46783804893500003	None	0.0	2.0	invertedtrianglecyan.gif	stop	2.16	0.51513504982	0.0009200572967529999	0.46783804893500003	1.0	q	152.68835997600002																																																									2015_Jun_24_1402	59.94123498	LearningTask	1	65	
