	xPos	corrAns	yPos	corrGoResp	yPosGoStim	xPosGoStim	pracTrials.thisRepN	pracTrials.thisTrialN	pracTrials.thisN	pracTrials.thisIndex	ReDoLoopPrac.thisRepN	ReDoLoopPrac.thisTrialN	ReDoLoopPrac.thisN	ReDoLoopPrac.thisIndex	ReDoLoopPrac.thisTrial	pracStopTrials.thisRepN	pracStopTrials.thisTrialN	pracStopTrials.thisN	pracStopTrials.thisIndex	Blocks.thisRepN	Blocks.thisTrialN	Blocks.thisN	Blocks.thisIndex	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	ReDoLoopMain.thisRepN	ReDoLoopMain.thisTrialN	ReDoLoopMain.thisN	ReDoLoopMain.thisIndex	ReDoLoopMain.thisTrial	StopBlocks.thisRepN	StopBlocks.thisTrialN	StopBlocks.thisN	StopBlocks.thisIndex	StopTrials.thisRepN	StopTrials.thisTrialN	StopTrials.thisN	StopTrials.thisIndex	auctionBlocks.thisRepN	auctionBlocks.thisTrialN	auctionBlocks.thisN	auctionBlocks.thisIndex	auctionTrials.thisRepN	auctionTrials.thisTrialN	auctionTrials.thisN	auctionTrials.thisIndex	learningTrialList	learningPracTrialList	stopTrialList	stopPracTrialList	auctionTrialList	ok1.keys	ok1.rt	resp.keys	resp.corr	resp.rt	feedbackResp.keys	feedbackResp.corr	currentReward	currentStimulus	currentStimType	firstPracComputedRewardOutput	firstPracLearningStimOnset	firstPracLearningFixOnset	firstPracPresentationRT	firstPracPresentationAcc	firstPracPresentationResp	firstPracEndTrialTimeStamp	StartTrialTimeStamp	trialType	goStim	stimType	stopStimValue	goResp.keys	goResp.corr	goResp.rt	key_resp_9.keys	key_resp_9.corr	fixStopOnset	goStimOnset	stopSignalOnset	EndTrialTimeStamp	key_resp_3.keys	key_resp_3.rt	firstComputedRewardOutput	firstLearningStimOnset	firstLearningFixOnset	firstPresentationRT	firstPresentationAcc	firstPresentationResp	firstEndTrialTimeStamp	secondComputedRewardOutput	secondLearningStimOnset	secondLearningFixOnset	secondPresentationRT	secondPresentationAcc	secondPresentationResp	secondEndTrialTimeStamp	key_resp_7.keys	key_resp_7.rt	feedbackResp.rt	beginningSSD	EndingSSD	key_resp_4.keys	key_resp_4.rt	auctionResponse.keys	auctionResponse.rt	auctionStimDuration	auctionStim	auctionAmounts	auctionStimValue	auctionCondition	chosenAuctionAmount	key_resp_5.keys	key_resp_5.rt	shuffledRewardList	chosenReward1	chosenReward2	chosenReward3	chosenReward4	chosenReward5	key_resp_6.keys	key_resp_6.rt	date	frameRate	expName	session	participant	Unnamed: 130
0																																																	[]	[]	[]	[]	[]	9.0	57.637616872799995																																																																							2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
1	-200.0	q	200.0				0.0	0.0	0.0	5.0																																														q	1.0	0.867943048477	None	0.0	0.5	squaregreen.gif	go	0.6	0.512494087219	0.074520111084	0.867943048477	1.0	q	123.828341007																																																								2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
2	200.0	w	200.0				0.0	1.0	1.0	4.0																																														w	1.0	0.5348789691929999	None	0.0	2.0	diamondblue.gif	stop	1.84	0.514429092407	0.0162601470947	0.5348789691929999	1.0	w	126.831009865																																																								2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
3	200.0	s	-200.0				0.0	2.0	2.0	6.0																																														s	1.0	0.384464979172	None	0.0	0.5	circleyellow.gif	stop	0.0	0.5151450634	0.0265960693359	0.384464979172	1.0	s	129.83433795																																																								2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
4	-200.0	q	200.0				0.0	3.0	3.0	1.0																																														q	1.0	0.45136690139799995	None	0.0	4.0	lineorange.gif	go	4.07	0.514820098877	0.0173709392548	0.45136690139799995	1.0	q	132.837824821																																																								2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
5	200.0	s	-200.0				0.0	4.0	4.0	2.0																																														s	1.0	0.384119987488	None	0.0	2.0	hexagongray.gif	go	0.0	0.514667987823	0.0222418308258	0.384119987488	1.0	s	135.84125185																																																								2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
6	200.0	w	200.0				0.0	5.0	5.0	0.0																																														w	1.0	0.467750072479	None	0.0	2.0	hexagongray.gif	go	2.07	0.515054225922	0.0009431838989260002	0.467750072479	1.0	w	138.844790936																																																								2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
7	-200.0	a	-200.0				0.0	6.0	6.0	7.0																																														a	1.0	0.434187173843	None	0.0	0.5	circleyellow.gif	stop	0.68	0.514366149902	0.00096607208252	0.434187173843	1.0	a	141.84800791700002																																																								2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
8	-200.0	a	-200.0				0.0	7.0	7.0	3.0																																														a	1.0	0.43429207801799996	None	0.0	1.0	crosswhite.gif	stop	0.0	0.5149040222169999	0.0329260826111	0.43429207801799996	1.0	a	144.851160049																																																								2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
9	-200.0	q	200.0				0.0	8.0	8.0	9.0																																														q	1.0	0.400979995728	None	0.0	1.0	crosswhite.gif	stop	0.82	0.515035152435	0.0009710788726810001	0.400979995728	1.0	q	147.85493183100002																																																								2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
10	200.0	w	200.0				0.0	9.0	9.0	8.0																																														w	1.0	0.417816162109	None	0.0	4.0	trianglemagenta.gif	stop	0.0	0.51452589035	0.016438007354700003	0.417816162109	1.0	w	150.85839390799998																																																								2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
11				m	0.0	200.0										0.0	0.0	0.0	1.0																																																				203.610306025	stop	circleyellow.gif	stop	0.5	m	1.0	0.46754789352399995	None	0.0	0.00137186050415	0.505244970322	0.755767822266	206.603385925																																										2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
12				m	0.0	200.0										0.0	1.0	1.0	1.0																																																				206.603824854	stop	crosswhite.gif	stop	1.0	None	0.0		None	0.0	0.000995874404907	0.515321969986	0.7660698890690001	209.60666990299998																																										2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
13				m	0.0	200.0										1.0	0.0	2.0	1.0																																																				209.60714888599998	stop	crosswhite.gif	stop	1.0	m	1.0	0.400761842728	None	0.0	0.00110101699829	0.5154139995570001	0.7657680511470001	212.609822989																																										2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
14				z	0.0	-200.0										1.0	1.0	3.0	0.0																																																				212.61025404900002	stop	diamondblue.gif	stop	2.0	None	0.0		None	0.0	0.008494138717649998	0.515737056732	0.7660219669339999	215.613363981																																										2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
15				z	0.0	-200.0										2.0	0.0	4.0	0.0																																																				215.61372184799998	stop	circleyellow.gif	stop	0.5	None	0.0		None	0.0	0.00108194351196	0.515846014023	0.7659449577330001	218.616927862																																										2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
16				z	0.0	-200.0										2.0	1.0	5.0	0.0																																																				218.617328882	go	invertedtrianglecyan.gif	go	1.0	z	1.0	0.650712966919	None	0.0	0.013700008392299998	0.51571893692		221.619882822																																										2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
17				m	0.0	200.0										3.0	0.0	6.0	1.0																																																				221.620306015	stop	diamondblue.gif	stop	2.0	None	0.0		None	0.0	0.000984907150269	0.5157408714289999	0.766054868698	224.623354912																																										2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
18				m	0.0	200.0										3.0	1.0	7.0	1.0																																																				224.623759031	go	hexagongray.gif	go	2.0	m	1.0	0.851380825043	None	0.0	0.00732278823853	0.515549898148		227.62662982900002																																										2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
19				z	0.0	-200.0										4.0	0.0	8.0	0.0																																																				227.62699604	go	squaregreen.gif	go	0.5	z	1.0	0.5840909481050001	None	0.0	0.0162332057953	0.515277147293		230.629993916																																										2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
20				z	0.0	-200.0										4.0	1.0	9.0	0.0																																																				230.630420923	go	lineorange.gif	go	4.0	z	1.0	0.8177468776700001	None	0.0	0.0053668022155799995	0.5157239437100001		233.63337183																																										2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
21																																																																																					9.0	86.7884578705																																								2015_Jun_30_1020	60.1203753739	LearningTask	1	68	
